userName;content;score;at
Dimas Hibban;Cocok buat sekolah??????????;5;2022-01-18 01:09:04
Hendrie Huetama;Lebihbd tingkatkan lagi kualitas Audio dan videox, Terima kasih...;4;2022-01-18 01:00:37
Adiba and Family;Mantap;5;2022-01-18 00:56:07
Laela Zarwatun;Saya sangat mendukung;3;2022-01-18 00:54:25
UDEAN;Mic sering tiba tiba nyala padahal gk di pencet;2;2022-01-18 00:54:24
kang king;Okay;5;2022-01-18 00:36:56
masak kisd perjuangan;Bagus doang;5;2022-01-18 00:05:16
Imee Liestiawan;Sippppppppp;5;2022-01-17 23:02:02
Erlan Erhana;Ilok;5;2022-01-17 21:02:51
jgmanalu GMAIL;Sampai saat ini masih sangat bagus;5;2022-01-17 17:23:50
Its Zack;??????;4;2022-01-17 16:01:32
Kucing;enak kalau mau mabar;5;2022-01-17 15:57:02
Siti Nurhazizah;Jangan pernah download ini akan kena Musi bah;5;2022-01-17 15:41:48
Ibrani Gultom;Ok.;4;2022-01-17 15:22:14
soeprapti ningsih;??????????;5;2022-01-17 14:45:30
Aidan Syahm T. Aidan;Bagus karna sekolah enak hehehe;5;2022-01-17 14:44:25
Rossiana Pasaribu;Bagus;5;2022-01-17 14:19:56
Andin Putri;Apk nya bagus!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!¡!!!!¡¡!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;5;2022-01-17 14:08:06
Yohanis Hadi;Dengan Zoom semuanya dapat terjangkau.;5;2022-01-17 14:07:01
Ahmad Munandir;Jos;5;2022-01-17 14:04:46
tris sutrisna;Ok;5;2022-01-17 14:04:13
Uastadz Sapri Sapri;Ok;5;2022-01-17 13:55:33
Rival Sitorus;Kekurangannya tinggal background di android;4;2022-01-17 13:47:36
Dyaan Nitjano;Bagus banget ??;5;2022-01-17 13:40:32
Aling Tok;Bagus;5;2022-01-17 12:44:05
Aulia Nur;Bagus banget zoom;5;2022-01-17 12:23:16
Paryono ST;Good;3;2022-01-17 12:22:50
Nirwanti Dianti;Bagus;5;2022-01-17 12:18:45
Melan Purwanto;Ok;5;2022-01-17 11:28:52
Oo'i Happy Day;Sangat puas dan sangat membantu;5;2022-01-17 11:18:58
Siti Khodijah Robiatul Adawiyah;Sangat bermanfaat;5;2022-01-17 10:59:29
Dwi Wisoeda;????????;5;2022-01-17 10:59:17
Novalia Tabsam;please give me a virtual background and profile;4;2022-01-17 10:41:26
Indrie Karomi;Bagus;5;2022-01-17 10:36:09
Amril Lison;Verry good;5;2022-01-17 10:20:40
Ahmad Samtono;Bagus;5;2022-01-17 09:45:43
Aan Andriani;Google whates ap 0822 4605. 5433;1;2022-01-17 09:17:15
Ilham Setiyawan;Has upgrade;5;2022-01-17 08:35:15
Rizky Sitanggang;Lalap recording program;1;2022-01-17 08:29:49
Cha Songkares;zoom bgus dan lancar;5;2022-01-17 08:10:06
Cipto Ndoyok Wirorejan;Mboros mborosi kuota semenjak ada aplikasi ini terpaksa dounlond;1;2022-01-17 07:58:02
Dora Emon;kerenbagetbisabelajardizoom!!!!!!!!!;5;2022-01-17 07:49:45
Jihad Izzuddin;Bagus;5;2022-01-17 07:13:25
hasna Syakir;Bagus?????????? banget deh!!!!!!!!!;5;2022-01-17 06:46:53
Raditya Fajri;Big;1;2022-01-17 06:28:54
Mujiono V.i;keren mantap suka banget;5;2022-01-17 05:41:06
Bayu AG17;tolong sediakan zoom lite version;4;2022-01-17 05:13:15
Auliya santuy bosku;Sangat bagus;1;2022-01-17 05:04:18
Ichbalboy Ichbal Rplis;Ichbalboy dencsa;1;2022-01-17 04:40:11
Zain ariffe;Recomended;5;2022-01-17 04:22:53
Sugianto Fissabilillah91;Gak bisa di download ??;1;2022-01-17 03:50:27
12.A Putra;Sangat membantu;4;2022-01-17 03:45:48
Venci Anisa Mooy;Bagusss sekali??????;5;2022-01-17 03:24:35
Absri Maestro;Mantap;5;2022-01-17 03:19:41
Chintia Gunawan;Keren;5;2022-01-17 02:25:41
Kevin Ardiansyah Setiawan;Dulu aku ngak bisa Donlowd karena waktu itu aku mgak pake zomm tapi sekarang udah bisa ngak papa klo ngak ada baground;5;2022-01-17 02:22:38
Athallah Kiram;Bagus;5;2022-01-17 02:06:25
amanina fi;Bagusss;5;2022-01-17 02:04:11
Lisnawati Channel;Ok;5;2022-01-17 01:59:57
Alfiandi Shane;Ok;5;2022-01-17 01:38:56
Modesta Sihotang;Saya tidak suka ini;1;2022-01-17 01:38:50
Wawan Kurniawan SP;Yes...its good;5;2022-01-17 01:16:13
STEVEN CHRISTIAN DAELY;??;5;2022-01-17 01:06:23
Marlaini Lai;Bagus;5;2022-01-17 01:02:56
Jess Alifa Putri Sutanto;Zoom bagus tapi yg bikin aku kecewa banget tuh ga ada virtual backround nya??;3;2022-01-17 00:28:50
Silvi Laela septriyani;AP????????????;3;2022-01-17 00:27:14
BAYU PERMADI;Ok 86;1;2022-01-17 00:20:48
SIU FRIDA;O7;4;2022-01-17 00:19:17
Intan sofiya;Bagus sangat membantu;5;2022-01-16 23:56:15
Slamet Susanto;Bagus;5;2022-01-16 23:55:52
Andi Yusuf;Bagus buat belajar;4;2022-01-16 23:16:21
Entin Surtini;Sangst bermanfaat;1;2022-01-16 22:10:38
Wonge Dewe;Kwalitas buruk,dikarenakan meng aksesnya susah;1;2022-01-16 17:54:56
ManfeeTv;Manfaat;5;2022-01-16 16:00:24
Aar 2;Bisa memberikan ruang untuk berekspresi secara berkelompok;5;2022-01-16 15:46:06
Eka Harkasih;Belum mencoba;4;2022-01-16 15:45:22
Edi Marta;Baik sekali, aktifitas zoom ini sangat efektif, tujuan terlaksana dan menghemat waktu dan sumber daya di tengah kondisi pandemi yg sangat membatasi gerakan kita;5;2022-01-16 15:07:51
Cindar Bumi;Bagus;5;2022-01-16 14:19:38
Tia Alia Ananda;I like you;5;2022-01-16 13:53:57
Isma laila;Bagus, manfaat bangeeet;5;2022-01-16 13:33:57
Muhadzib Al Muwafiq;2 kali terakhir ikut zoom, tidak bisa keluar audio (suara) Padahal sudah di update;1;2022-01-16 12:48:01
Suwoto 1967;Good;5;2022-01-16 12:38:07
Thertius Berimau;Baik;5;2022-01-16 12:37:29
ROGERS SIRAIT;IPBSI Satria dan Berani;5;2022-01-16 12:33:47
Iis Isnawati;Bagus;5;2022-01-16 12:29:46
Abigail Intan;Baik;5;2022-01-16 12:19:27
Dedi Efendi;Ok;5;2022-01-16 12:16:09
Gunk Oi;very good;5;2022-01-16 12:12:28
Eka paratama Eka;Bagus siii tapi sayg, suka eror ??;3;2022-01-16 11:40:10
Kalista Armas Rama;Ini cocok banget buat sekolah atau kerja tapi yang gak enaknya itu suka error jadi aku kasih bintang 4 aja dan terimakasih;4;2022-01-16 11:32:25
SAFARI MEDIA;Jadi penjambung yg terbaik dlm acara zoom cloud meeting;4;2022-01-16 10:46:18
Dimas gaming Pubg;Tnkyou;5;2022-01-16 09:51:22
Chichi TenriBuana11;Ko nggak bisa diinstal si. Urgent nih meeting aku;1;2022-01-16 08:51:07
Eni Mulyani;2112k;1;2022-01-16 08:23:30
Agus Santosa;Virtual backgroundnya dibuka untuk semua tipe hp donk.;5;2022-01-16 08:02:26
Nawawi Rambe;Aplikasi bagus;5;2022-01-16 06:07:29
Dian Anggraini;Good;5;2022-01-16 05:44:35
Firman Syah;Virtual biground gak ada;5;2022-01-16 04:27:24
Adatua Ompusunggu;Sering keluar masuk;2;2022-01-16 04:22:05
Amora Purba;Gg sih tapi masih ada bug alu waktu mau share scereen malah eror;4;2022-01-16 04:06:28
agus faruq muhammad;Keren ???? Terima kasih banyak;5;2022-01-16 03:21:14
Rajwa Rizqi Arafat;Lumayannn -_-;4;2022-01-16 03:06:06
Linggarno Lingga;Dengan zoom kami dipermudah dan dipermurah dlm melakukan pertemuan pertemuan.;5;2022-01-16 02:25:10
yuliati yuliati;bagus;5;2022-01-16 02:17:23
Frans Gulo;Susah;3;2022-01-16 02:08:14
Titi Lumeksaningsih;??;5;2022-01-16 01:50:37
Pusat Baja Ringan;Sangat baik;5;2022-01-16 01:03:18
budi prasetyo;Good;5;2022-01-16 00:18:52
Bunda_ Hilbrayn;Bagus;4;2022-01-15 22:09:27
Noneng Ernawati;Krn kami ikutvdi kelembagaan jd zoom membatu kami;5;2022-01-15 21:18:02
Paijan Paijan;Ribet..g' pernah.;3;2022-01-15 19:30:29
Abu Djay;Keren;5;2022-01-15 18:38:51
Dika Dika;Aplikasi ini bagus, cuma sayang virtual background tidak suport disemua handphone.. Sangat disayangkan;1;2022-01-15 18:38:27
Yudi Santoso212;Mantap.;5;2022-01-15 16:31:22
Callysta Abigail;Membantu bgt Apl ini dalam proses pembelajaran yang aku laksanakan, makasih ya??????;5;2022-01-15 15:43:55
Yulia Himawati;Sangat jelas;5;2022-01-15 15:37:19
bahrun niam;Good;5;2022-01-15 14:31:27
Daisy 20Lia;Setelah di perbaharui, saat zoom sering keluar sendiri. Dalam semenit bisa tiga kali keluar dr ruang zoom. Tolong diperbaiki;4;2022-01-15 14:22:17
Ho Awet;Ok boskuhh;5;2022-01-15 13:18:22
Ibnu Hajar;Bagus sih, tapi sangat menguras kuota bagi saya yang masih mahasiswa...;4;2022-01-15 13:14:09
Mutiara Uti;Zoom sangat baguss;5;2022-01-15 13:07:50
Anton Nomleni;Sangat powerfull dlm penyiaran, jg dlm join n interaksi;5;2022-01-15 13:06:32
Devitor Tae;Mantap;5;2022-01-15 13:00:36
Eufrasia Estiani;Sangat bagus;5;2022-01-15 12:44:15
Sehan Rahman;Mantap;5;2022-01-15 12:24:16
Sri Widagdo;Sangat membantu;5;2022-01-15 11:39:28
Rahmah Sumaini;Best;5;2022-01-15 10:48:36
Jin Kazama;Bagus lah;5;2022-01-15 10:39:33
Nippy Infante;Sangat membantu krn bisa menyatukan jarak yg jauh terutama saat pandemi dg webinar2 online;5;2022-01-15 10:03:42
Quirinus Dhedho;??????????;5;2022-01-15 09:45:17
andri yansyah;Ok;5;2022-01-15 09:44:34
Rozenaru;Gara2 lu anjim gw main tiba tiba suruh kelas;1;2022-01-15 09:28:50
richellaa jeanices s;"ga Isa log in teruss, padahal email, password semua udah benar. Akhirnya tulisan selalu muncul ""Sign Up Failed"" gitu terus ??????";1;2022-01-15 08:44:08
Aafika Putriy;Thebest;5;2022-01-15 07:04:41
Yuni Patriastuti;Baguusss;5;2022-01-15 06:59:37
alwan kusnanto mursidi;Mantap;5;2022-01-15 06:28:30
Aib Aza;kkk;5;2022-01-15 05:54:20
Amelia Amelia;Terputus,,,eror code terus,,,gak ngerti knp?;2;2022-01-15 05:36:59
Salsabila Afifah;??;4;2022-01-15 04:15:16
Fallen Hadiyaksa daud;????????????????????????;5;2022-01-15 04:05:26
Mevie Hilal;Bagus sih tapi kok saya enggak ada baground nya jadi saya kasih bintang tiga aja lah??????;3;2022-01-15 03:30:07
ainur rofik;Ok;5;2022-01-15 03:26:39
FOGO GAMING;Bagus sih tp sk bug;1;2022-01-15 02:34:10
Kosmos 366;Mantap;5;2022-01-15 02:32:07
revalynnadearni Komaling;Ini apk penting sih Jadi wajar lah;5;2022-01-15 02:25:18
Richie Kent bryan;Dengan aplikasi ini, dalam hal ajar mengajar jadi lebih gampang. Meskipun ada sedikit nge-lag;4;2022-01-15 02:22:09
Ever Coss;Ok;5;2022-01-15 02:05:29
catur;Tidak bisa di akses lewat link zoom yg dikirim orang lain.;1;2022-01-15 01:58:08
Sugiyanto Sutan;Mantap;5;2022-01-15 01:30:53
Daeng Guppy;Kenapa saya tidak bisa terdonwload apa yg bermasalah padahal jaringannya bagus memory tidak full tolong solusinya zoom;2;2022-01-15 01:17:53
Livi Komalasari;??;5;2022-01-15 01:15:36
Imade Mastra;Bagus;5;2022-01-15 01:06:47
JOSEPH STALIN;Jelek bikin kagak semangat sekumlah??;1;2022-01-15 01:04:51
Kadek Jaya;Oke bagus diPakai untuk pertemuan yang menghubungkan banyak pengguna terimakasi;2;2022-01-15 01:00:00
Roy Catur Prasetyo;Bagus buat kerja meeting zoom;5;2022-01-15 00:47:22
Ade Abdulah;Aplikasi ini bagus tolong ditingkatkan lagi ya kualitasnya;5;2022-01-15 00:37:03
Priyo Utomo;Mantap;5;2022-01-15 00:32:06
21Susan Ceciliasitompul;Sy kasih 4 y;4;2022-01-15 00:27:35
iman rahmat;Mantabs..;5;2022-01-15 00:09:12
Dudi Alfaruzi;Ga da perubahan bahasa ya;2;2022-01-14 23:54:02
SANHZU;??;5;2022-01-14 23:53:11
Putri Azizah;pretty good though and i like it;5;2022-01-14 23:42:51
Gaosul Hidayat;Mantul Sekali;5;2022-01-14 23:05:42
Auliah Anwar;Jelek ini mah;1;2022-01-14 22:37:24
La rahadi;Sangat baik;5;2022-01-14 22:23:32
Damianus Lerek;Mantap;5;2022-01-14 21:26:35
Rubby;TIDAK ADA FITUR GANTI BEGROND DI ANDROID;1;2022-01-14 21:09:25
Soebroto Prapto;bagus, tapi saya belum bisa buat background zoo;5;2022-01-14 20:52:06
Revandhermawan Hermawan;Ok;5;2022-01-14 18:19:21
Resi Goetama;Sering ngalami suara tdk bersih;4;2022-01-14 18:00:16
Mario Valentino;Tolong untuk virtual background agar dapat digunakan disemua hp;4;2022-01-14 16:43:42
bmbngsunarso bmbngsunarso;Oke;5;2022-01-14 15:56:33
Eka Graha Vidyantara;Rasional;5;2022-01-14 15:44:35
abdul kodar;Lancar;5;2022-01-14 15:39:43
ANIS FARIDA;good;3;2022-01-14 15:14:08
Irma;Bagus banget buat kuliah online;5;2022-01-14 14:32:28
Almaktoum17 Hamdan;Good;5;2022-01-14 14:04:24
Lestari Putri;Bintang lima deh... Karna aku tetap..bertahan dgn aplikasi ini... Bagus bagus bagus......;5;2022-01-14 13:50:41
Fatan Rasakh;Mantabbbb;5;2022-01-14 13:34:20
Miftahul Anna;Ok;5;2022-01-14 12:58:26
Rohiman Rohiman;keren bro ,wong kito galo;5;2022-01-14 12:45:57
yunita anna;MaashaAllah i learn tajweed and arabic alot in zoom, from lectures that far away from me alhamdulillah;3;2022-01-14 12:45:28
anie djunisoentoro;Oke;5;2022-01-14 12:27:11
Yetti Siahaan;Bagus dan nyaman;5;2022-01-14 12:06:40
Tanto Ap;Good;5;2022-01-14 12:03:50
Essy somarwain;Sangt baguss??????;5;2022-01-14 11:59:46
Al Fath;Best;5;2022-01-14 11:38:59
Say Bae;Apk nya bagus banget;3;2022-01-14 11:18:44
Badruddin;Fasilitas Virtual background masih tidak bisa untuk semua android. Pdhl secara spesifikasi android sudah mumpuni. Mohon Agar ditanggapi;1;2022-01-14 11:14:38
Evyanti Evyanti;Cara pengaksesannya mudah;5;2022-01-14 09:55:23
Annisa Nur Hidayat;So good;4;2022-01-14 09:32:20
Wayan Suprapta;Zoom udah bagus tapi caranya untuk gabung sulit;1;2022-01-14 09:31:59
Nonim Roeslan;Ndak support virtual background;3;2022-01-14 09:05:50
Raja Intan;Luarbiasa Medsos;5;2022-01-14 08:05:42
Andi Yusuf;Membantu perkuliahan:);4;2022-01-14 08:04:57
Geraldus Harley Davidson Soedjadi;Tidak ada background nya padahal udah apdete Dan juga susah amat buat bikin akun zoom aku Ampe jadi ngerepotin temen lagi ??????;2;2022-01-14 08:02:19
Rein Matulessy;Bagus;5;2022-01-14 07:40:49
ali Mukayat;Hebat;5;2022-01-14 07:31:28
Uus Uswatun;Ok;5;2022-01-14 07:18:22
Ilham Duta Sandya;susah masuk;1;2022-01-14 07:13:27
dani setyawan;Bismillah;5;2022-01-14 07:12:23
Hinata Shoyo;Aku suka zoom ini and aku recommended ini krn bisa annotate, pakai vb dan masih banyak lainnya ??;4;2022-01-14 07:08:55
Fira Umaisya;Bagus, sangat memBantu;5;2022-01-14 07:07:59
Ar Rozi Abdullah;Guud;4;2022-01-14 07:02:29
ANI ANDRIYANI;bagus;5;2022-01-14 06:49:32
Dwi Priyanto;Cepat dan praktis;5;2022-01-14 06:28:05
Anton Yuliadi;jl raya manukan krajan blok 31 j no.5 tandes sumber rejeki surabaya;5;2022-01-14 06:18:44
MHD Teguh Pratama;ZOOM UDH BAGUS TPI HP YANG TIDAK MENDUKUNG KASIHAN;4;2022-01-14 06:15:58
Juliana Nainggolan;Ni aplikasi membantu gua saat daring sangat membantu sampe² teringat waktu tatap muka;1;2022-01-14 06:15:23
Alfin Teja;Bagus banget in;1;2022-01-14 05:46:50
HARMA;Alhamdulillah...aplikasi ini sangat membantu kami dlm pembelajaran online, walaupun kadang terkendala dgn jaringan...;5;2022-01-14 05:06:27
Moses Immanuel;App haram kntl;5;2022-01-14 05:03:37
Margaretha A Theona;Bagus;5;2022-01-14 04:56:26
Thushan Chathuranga;Zoom;5;2022-01-14 04:55:54
i nyoman sepandi;Kerennn;5;2022-01-14 04:21:05
S Siddiq Fajar Pamungkas;Apk VC ! ????;1;2022-01-14 03:40:34
SEVERINE S. P;Email nya padahal sesuai tapi tidak bisa masuk aneh;1;2022-01-14 03:25:33
acep zulqornaini;Good;5;2022-01-14 03:14:16
Yeremia Melky;Ok;5;2022-01-14 03:06:02
Mekanik Otomotife;Good;5;2022-01-14 02:51:38
Revan Christian Ifan;Terputus putus saat video dan suara kurang jelas;1;2022-01-14 02:43:01
Muhammad Slamet;Bagus c3pat dan jelas;5;2022-01-14 02:40:44
Nanang Kosim;Ekselen;5;2022-01-14 02:22:45
Fransiska Sihombing;Sagat bagussssss;5;2022-01-14 02:22:03
Samantha Manullang;Appnya bagus!!!!!!!!!!!!!!!!!!!;5;2022-01-14 02:01:56
Adeline Zahara;Bisa untuk sekolah ku;5;2022-01-14 01:44:36
Sri Natalia;bagus, tapi agak menyulitkan krn waktu 40 menit terjeda.;4;2022-01-14 01:41:55
F;Bagaimana edit pengaturan data pribadi pada apk zoom.skrg saya tidak bisa gabung dgn zoom meeting.apakah harus penyesuaian selalu setiap bergantian zoom meet id nya.bila Kon sumen di buat susah untuk update zoom meetingnya mgkn pelanggan bisa berganti apk nya nih;1;2022-01-14 01:35:31
Andri Septiani;i like it^^;4;2022-01-14 01:25:51
Putri Nur Aisyah;Nice;5;2022-01-14 01:21:49
Amran Gani;Mantap;5;2022-01-14 01:03:22
alex PRAM;Keren;5;2022-01-14 00:48:57
Rachel Shalom;Gak bagus mending main roblox dari pada sekolah make zoom;2;2022-01-14 00:46:11
NANI ALFIYAH;Sangat baik;5;2022-01-14 00:22:55
Gabriella Angel;Hi zom mohon back groungd yah di hp juga;4;2022-01-13 23:53:04
Ade Fauzan;Bgs untk sklhh;4;2022-01-13 23:37:04
Yuda P;G Ada Fitur Background Untuk Spec Low Memberi Bintang 1;1;2022-01-13 23:35:28
Irvan Sastra;Memuaskan;5;2022-01-13 23:00:50
WD AW;Cus;5;2022-01-13 21:42:42
MOCH SURYA WIJAYA;Ok;5;2022-01-13 18:57:29
Disarni orfit weri buma;Bagus;5;2022-01-13 16:26:22
Anysa Rasyid;Bagus bangettt sangat membantu;5;2022-01-13 16:09:17
Danny Wang;Cm 40menit gak dpt gratis 90menit;1;2022-01-13 15:17:35
Piyic Robot;Ok;5;2022-01-13 15:17:14
Muhammad Rizal Ardiansyah;Can't change photo profile :);2;2022-01-13 15:17:04
Arshya Zafeera;Plissss hati hati aku liat YouTube ini berbahaya;1;2022-01-13 15:10:56
Feni Gustiani;Makasih zoom udh jadi media utk memudahkn saya belajar online;5;2022-01-13 14:50:13
Hendri Kartin;cukum membantu di saat pandemi;5;2022-01-13 14:41:20
Dede ira Susilawati;??????;5;2022-01-13 14:35:43
Sepina Yeimo;Mantap;5;2022-01-13 14:02:19
Asep Nurul ilyas;Baru mau coba;5;2022-01-13 14:01:16
dicky aritonang;????????;5;2022-01-13 13:48:49
shallom Leona2;Ini app baguss;5;2022-01-13 13:30:57
Alin Y Hamzah;Sangat bagus untuk kita yang berjauhan;5;2022-01-13 12:44:21
Zaman Tarigan;Oke;5;2022-01-13 12:41:30
Alit Supriyanto;Lumayan;4;2022-01-13 12:19:29
Herman;Okk;5;2022-01-13 11:54:41
Dav Skuyy;Bagus aja tapi ga bisa login;3;2022-01-13 11:51:59
Dedy Rahmat;Good;4;2022-01-13 11:48:41
maya rumawung;apk zoom ini sangat amat membantu, aplgi d musim pandemi bisa ttp ikutan seminar, ibadah, rapat, dsb. tanpa harus kmn2.. lebih ekonomis???? contoh yg biasanya klo ikut rapat tahunan hrus bayar transport, biaya akomodasi t4 tinggal, dll. tetapi dgn zoom cuman cukup beli kuota saja???????;5;2022-01-13 11:12:17
gugus pambudi;Good aplikasi;5;2022-01-13 10:51:53
Dewi Indah;Baagus sekali untuk sekolah daring emotnya banyak bisa chat temen bisa pake reaction bisa bertemu antara guru dan murid tapi tolong dong buat virtual background nya dibebaskan untuk semua hp tapi sekarang udah bagus banget ko;5;2022-01-13 10:51:16
Rahmat Effendi Yessa;Mantap;5;2022-01-13 09:05:35
Hardiansyah Mha;Good;5;2022-01-13 08:33:46
Nur Bela;Tidak bisa menginstal;5;2022-01-13 08:24:17
Untarti Widiyanti;Good sangat bgus;5;2022-01-13 08:16:18
Muh Hafad;Saya baru tahu ni aplikasi zoom, mudah mudahan aplikasi ini bisa membantu seruru lapisan masyarakat yang bermanfaat, Amiin;3;2022-01-13 08:15:13
Ina Wati;Wih mantap bisa 100 orang aku kasih bintang lima aku udah pernah nyobain zoom ada brekouts room terus ganti nama aku udah pernah nyobain keren sih jadi aku kasih bintang lima;5;2022-01-13 08:11:30
Hafizah Hafiz;Saya kasih kmu 5 bintang:D Tapi maaf memo ku penuh UnU?? Jadi gk bisa download :'D Kapan2 ku download ya UvU Bye...;5;2022-01-13 07:52:45
Rizki Teguh;Ok;5;2022-01-13 07:25:09
Hasanuddin Ritonga;Ok, paten;4;2022-01-13 07:25:01
BlockmanGo;Gak suka deh ngelek banget??????????;5;2022-01-13 07:08:15
Imelda Naibaho;??????;5;2022-01-13 07:01:22
rini saputra;Bagus.. cuman suka matiin mic, chat nya ke everyone:), setiap ada hal jelek² in sesuatu ternyata chat ke everyone atau ga mic nya on twt;4;2022-01-13 06:52:22
Zaenal Zaenal;Ok;5;2022-01-13 06:38:25
Marsono Marsono;Mantappp;5;2022-01-13 06:28:49
tri yanto;Jossss;5;2022-01-13 06:25:24
Nur Fitriani;Good;5;2022-01-13 06:25:01
Marissa Abigail;Bagus sekali untuk saya sekolah??;4;2022-01-13 06:06:15
Arie wibowo;Bahasa tidak ada untuk indonesia;5;2022-01-13 06:04:57
Tomiarianto Arianto;Zoom itu bagus banget aplikasinya????;5;2022-01-13 05:44:42
Prie Yono;Tetap semangat;5;2022-01-13 05:39:12
Keyreen Angelia;Aplikasinya bagus banget!! Kalian nyesel kalau ga Download Aplikasi ini, aku bisa sekolah pakai Aplikasi inii, yang penting aku suka sekali sama Aplikasi Zoom ini, tapi aku pengen nanya, cara pakai baground di hp gimana? Aku ga tau cara pakai bagroundnya, tapi aku suka banget sama Aplikasi ini....;5;2022-01-13 05:36:10
aditya SB;Ok;5;2022-01-13 05:14:34
football X gaming indonesia;bagus sih;5;2022-01-13 05:03:04
Merry Lumbanbatu;Good;5;2022-01-13 04:55:04
Kasman;Oke bagous bainget;4;2022-01-13 04:29:47
Rianti Ktp;Zoom metting ok banget;5;2022-01-13 03:22:52
Siti Faizah Nurul Azqia;Ok;5;2022-01-13 02:41:41
Umam Umam;Sangat membantu;5;2022-01-13 02:10:43
Eyen Epen;Bagus;4;2022-01-13 02:05:59
Yuliana Oei;Bagus banget ...... Tp yg protes gak bisa virtual back groun karna pake hp beli bosss jangan bisa protesss lama lama gw congkel juga tuh mulut kan kalo gak pake juga bisa ijin dan bilang sorry buk saya gak punya laptop atau komputer behhh dalah lu pada gak punya otak ?????;5;2022-01-13 02:00:35
Khairi Wilda;Ida farida;5;2022-01-13 01:53:38
Hilda Febriliani;Ga bisa d instal ini kslhn dmna nya yaa;1;2022-01-13 01:37:39
Yuli Arianti;Kok enggak bisa di download ya zoomnya kenapa ya;2;2022-01-13 01:32:47
ramadhanOfficial 13;Sangat tydak ramah;1;2022-01-13 01:27:48
Indra Syahputra;Mantap;5;2022-01-13 01:25:51
Muhammad Thariq Siregar;Aplikasinya sudah cukup bagus, tetapi saya sering menemukan bug dimana video saya tiba-tiba terbalik atau berubah posisi saat menggunakan cover keyboard Samsung Tab saya. Mohon diperbaiki karena cukup mengganggu saat meeting berjalan.;3;2022-01-13 01:23:31
Rosi Iswandari;Bagus zoom ya maaf ya zoom??;5;2022-01-13 01:20:17
Very Lukman;Ok;5;2022-01-13 01:04:38
Lusi Sartika Ginoga;, e5gma hf;2;2022-01-13 00:57:48
Tiyen Maryam;Mantap;5;2022-01-13 00:38:00
muhammad yazid al fatah;bagusss;5;2022-01-13 00:32:51
Ardi Ardiansyah;Zoom tubbagussssssssssssssssssssssssssssssssssssssssssssssssssdsssssssssssssssssssssssesssssssssssssssssssssssssssssssssssssssssssssssssssssddddddsdsssssssssssdssssssssssssssssssssssddddddssssssssssss. Tapi boong zoom tu jelek jangan ada yang download zoom ya oke;1;2022-01-13 00:32:16
ANGGA / FARISKA_MANGGARA BANK BSI INDONESIA;kok saya gak bisa yah ada background;3;2022-01-13 00:28:53
nabila tiara;Rada burem;4;2022-01-13 00:18:33
diki marsoni;Ok;5;2022-01-13 00:00:20
Yosef Sef;Oke.mt pagi;4;2022-01-12 23:47:49
Evi fridayanti;Baru mau coba semoga aja bagus;5;2022-01-12 23:46:06
Soim Anwar;Mantap...;5;2022-01-12 23:31:05
Riant Jaya;Dimasa pandemi sangat membantu kita untuk tetap bisa bertatap muka;5;2022-01-12 23:28:32
