content;value
Gara2 gak bisa pilih ekspedisi sendiri. Paket lama sampenya dan hilang. Lama2 shopee di plastore 3.0 rantingnya karena kebijakan aneh. Paket saya gak sampe tujuan gara2 shopeexpres ekspedisi terburuk di dunia. Liat aja di plastore ulasan yg paling bawah shopee;Negatif
Kenapa sekarang gak bisa pilih jasa ekspedisi ??? Gak banget ketentuan kaya gini. Pilih yang terbaik menurut shopee? Tapi belum tentu terbaik menurut pembeli.. Pembeli lebih tau pengiriman mana yg terbaik menurut kebutuhan mereka.. PAHAM ???;Negatif
dg adanya aplikasi mempermudah shooping online, akan tetapi jangan lupa shopee jg harus memberikan blacklist kepada penjual yg tdk menghargai kepercayaan pembeli, evaluasi setiap keluhan pembeli agar aplikasi shopee tetap bisa dipercaya, amanah dan kalau bisa menjaga kualitas barang;Positif
Ktnya bisa dibantu di fb Shopee id tp saya chat ga prnh bls. Klo sampai uang saya msh ditahan pihak Shopee saya bs kasuskan ini. Bukti dll semua udh ada tp pengembalian dana lama sekali. Uang yg di mkn bkn puluhan ribu ka. Itu uang buat keperluan yatim piatu. Astaga ini aplikasi ga bgt;Negatif
Tolong kembalikan lg pemilihan ekspedisi yg dikehendaki. Niat cari barang dengan pengiriman yang sesuai dan tepat, malah dapat yang kacau dan tidak tepat untuk daerah pinggiran. Jadinya malah lemot dan barang tidak sampai-sampai.;Negatif
Shoppe bagua appnya hanya 1 tolong setting lagilah supaya orang mudah untuk pwngembalian.barang. karena setelah pesanan saya terima belum saya buka karena sibuk kerja. Pas lagi sudah selesai kerja unbox barang kurang. Ehh mau saya kembalikan.. seller bilang saya tidak bisa bantu. Kayak gini shoppe bikin rugi costumet dan seller untung besar;Negatif
Makin kesini makin aneh sistem nya, udah mah klo di chat suka ninggalin sesi seenaknya,jasa pengiriman ktnya bisa di ubah selama satu jam setelah pemesanan tapi Informasi pengiriman ny ga bisa di klik, disuruh nunggu 3 jam tp gada pembritahuan apapun. Dahlaaa pindah aja klo gini mah;Negatif
Sayang banget karna kebijakan shopee yg memilih jasa pengiriman jadi mengecewakan pengguna. Utk setiap daerah kinerja jasa pengiriman nya beda2, hanya pengguna yang tau mana jasa kirim yang memberikan pelayanan terbaik, kalau shopee yg memilihkan otomatis pengguna jd kesulitan karna d tmpt saya beberapa jasa kirim tidak mengirimkan brg ny k rmh, bahkan hrs menunggu 2 3 hari setelah barang diterima Tolong dr shopee dpt mengubah kebijakan nya agar pengguna tetap bisa memilih jasa kirim nya sendiri;Negatif
Gak bisa milih kurir andalan seperti dulu, sekarang kurir di pilihkan sendiri oleh pihak shopee, biasanya 1 hari nyampai ini sekarang minimal 3 hari baru sampe ,kalau bisa kembalikan seperti dulu kita sendiri yg memilih ekspedisi yg tepat;Negatif
Dari bintang lima aku kasih bintang satu ,dengn alasan karna kami sebagai pelanggan setia tidak lagi bisa mengakses jasa kirim kami sendiri ,tolong kembali kan hak kami dalam memilih jasa kirim jangan kalian yang memilihkannya ,tolong kembalikan dalam keandaan semula hilangkan reguler dan hemat terimakasih ,semoga ada kebijakan dari shope;Negatif
UDAH HAMPIR 2 TAHUN PAKAI SHOPEE DAN BELANJA TERUS HINGGA SEDIKIT LAGI MAU KE PLATINUM SAMPAI SAAT INI BLM ADA SPAYLATTER,SUNGGUH MENGECEWAKAN !!!!, dan kapan Shopee bekerjasama dengan TIKI? TIKI ITU PENTING UNTUK SELLER PENJUAL IKAN HIAS !;Negatif
cuma mau ngeluh ajah , kalau pengiriman pake gratis ongkir dan jasa kirim nya shoopee ekspress knapa lama bgt yaa ,, apa karna gratis ? kalau gitu hapus ajah program gratis ongkir nya kalau pelayanan nya seperti itu ... baru kali ini pake voucher gratis ongkir dan jasa pengiriman nya shopee ekspres itu super lamaa ,, jauh bgt pelayanan nya sama JNT ;Positif
shopee terlalu memihak penjual sehingga pembeli tidak bisa cancel sama sekali pembelian walaupun kesalahan penjual yg fatal.. update skrg juga g bs pilih kurir..cs juga tdk ramah..menjawab seperlunya lalu mengakhiri chat sepihak tanpa mendengarkan komplain.. sayang sekali ya makin kesini makin kurang bagus shopee.. jd g semangat lagi belanja di shopee.;Negatif
Assalamualikum Saya disini mau minta bantuan ke shopee karena saya mau menanggani masalah saya beli barang tidak sesuai deskripsi,saya beli horden pintu dikirim gorden kolong dapur,saya beli 2 rolet soka full set dikirim tidak lengkap Saya mencoba chat penjual tapi tidak direspon,saya mengajukan pengembalian barang/dana tidak ditanggapi ini bagaimna kebijaknnya? Semoga shopee mau menjadi penegah permaslah saya terima kasih?? .;Positif
Update bukan malah bikin bagus tapi memperburuk, apa guna nya? Dulu belanja & voucher nya bisa tanpa minimum pembelian, sekarang nggak. Koin check in dikurangin. Lah sekarang malah gk bisa pilih expedisi, expedisi di monopoli sama pihak shopee, ongkir di harga tertinggi. (Bnyak yg ngasi Ulasan bintang 1, awas nanti rating lu turun) mending kembali in aja sperti sbelumnya. Saya aja gk jadi belanja karna masalah expedisi, off dulu lh klo gini.;Negatif
Shopee semakin kesini semakin ngawur aja wkwk, cm mau beli kuota data dishopee aja loading nya lamaaaaa bgt ampe 10 mnt ada kli ya, dah gt lemot bgt skrg. apalagi kl kita belanja, jasa pengirimanya yg milih skrg shopee duh lamaa bgt nyampe nya asli. dah mending balikin shopee yg dlu?? kl gini terus gatau lg, mungkin aku bakalan uninstal hahaha;Negatif
Ini apa2an Shopee makin bikin ribet, ga bisa milih ekspedisi yg mau dipake sama konsumen, terserah konsumen mau pake jasa kirim apa, toh konsumen sendiri yg bayar ongkir, kok seenaknya aja.. Terserah kalo lu mau kerja sama dengan salah satu atau beberapa jasa kirim, tp jgn begini cara'y. Lu itu aplikasi marketplace bukan aplikasi ekspedisi. . Tambahan.. Mampus udh bnyk yg lapor ke YLKI, bentar lagi kena sangsi...;Negatif
Lemot sekali boss..padahal sdh update versi terbaru?? Trus kecewa juga ke sistem jasa antar shopee sekarang, gak bisa milih sendiri dan yg katanya bisa dirubah sebelum dikirim,nyatanya samasekali gak bisa;Positif
Belanja online yg sesuai harapan... Smoga Shopee slu bisa memberikan yg terbaik tuk, semua, karna,, pelayanan yg terbaik bisa mnjadi motivasi maju nya sebuah usaha... Makasih Shopee cuman sedikit kecewa ma toko yg ngk balas chat...;Positif
Akun saya masih tetap tidak bisa cekout, sudah saya bersihkan cache, update terbaru bahkan sudah saya instal ulang, masih tetap tidak bisa cekout, selalu ada bacaan silahkan tambah jumlah pesanan utk cekout, mohon bantuannya??;Negatif
Nyesel blanja di shopee skarang. Pas udah bayar malah lupa ganti kurirnya di waktu 'sedang dikemas',. Jadinya dpt shopee express, padahal sya org sulsel yg ga ada shopee express daerah saya. Jadi muter2 dulu sampe seminggu lebih, padahal kurir lain cuma 3 hari. Shopee standar express dulu cuma 5ribu, skarang gabung sma kurir lain jdi 'REGULER' jdi harga naik jdi 60ribu. Udah lama, mahal pula. Klo bisa susah, kenapa harus mudah? Klo bisa mahal knp harus murah?;Negatif
* 5 jadi * 1. Kenapa kita gak bisa milih jasa antar? Mohon diperbaiki, untuk sementara pakai aplikasi lain dulu nanti pakai shopee lagi + bintang 5 klo jasa antar sudah bisa milih lagi.;Negatif
Saya ingin memakai mengirim barang ke alamat yang ku inginkan, tetapi ga bisa karena shoppe paksa hrs 90 huruf saja saat penulisan alamat, alamat yang saya ingin kirim lebih dari itu, buat apa sih di batas batasin jadi sulit saja mau beli;Negatif
Sekarang mah gratis ongkirnya tdk bisa dipake kecuali shopeepay, jasa pengirimnya jg tdk bisa dipilih. Jadi malas dong belanjanya, lama lama sttus member gold hilng krn gak pernh belnja. ?? Harusnya semakin bagus dong, ini mah semakin menyusahkan ! Auto kabur ke tetangga sebelah klo gni mah .;Positif
Dah di update tetep sama aja. Ekspedisi ga bisa pilih. Mana beberapa hari lalu sempat pesan, sampe sekarang blom sampe. Soalnya kalo shopee expres itu ekspedisinya wahana (nanya sama admin toko). Shopee apaan dah;Negatif
Shopee sekarang mengecewakan, banyak yang ngeluh belanja makin ribet karna pembaharuan jasa kirim yang merugikan pembeli (ga bisa pilih ekspedisi) buat org jadi males belanja. Semoga kedepan nya bisa di rubah seperti semula.;Negatif
Make shopee mudah + simple tp knp aplikasi saya kyk begini yahhh ??? Tiap buka pasti gambarnya ga muncul muncul gambar barangnya , mesti d buka beberapa kali dulu , pdahal klik nya lancar lancar aja , jaringan juga lancar 4G full, bukan apk nya bisa d suruh update emng apk lu yg lemod;Negatif
Lebih bgus shoope yang terdahulu...jasa pengiriman sdah ada,ini harus memilih lokasi,giliran di pilih tidak bisa bisa...dan alhasil saya tidak jadi belanja di shoope karna jasa pengiriman tidka ada;Negatif
Shoppe ada masalah hidup apa si? Ko jadi gini ga bisa milih jasa pengiriman sendiri pake shopee express malah ga jelas padahal barang udh mau di pake tadi malah di gagal di anterin sumpah ga nyaman bgt tolong dong benerin lagi jgn kek gini yg ada nanti pada males belanja di shoppe.;Negatif
Setelah diupdate, narik dana ke rekening jd lama bat.. biasanya gk nyanpe setengah jam masuk. Pelayanannya berubah gini jdi 1 bintang wae lah, yg sebelumnya udh super mantul dan super profesional bat.;Negatif
Saya Masih nunggu perubahan jasa kirim seperti dulu. Jujur saya kecewa kalo jasa kirim diubah kek gini, saya sebagai pelajar jualan online selalu ready kan stok.Pasti sebgai penjual kita jg sellu ingin menjual barang hrga murah berkualitas. Kalo jasa kirim sdh mahal jdi bingung mau nmbhin harga brng yg mau dijual, konsumen jg pasti kecewa kalo harga naik dan gk mungkin saya harus membebani ongkos kirim sendiri nmnya jg pelajar duit hrus bener²hemat :);Negatif
Kembalikan shopee yg dulu. Yg gak ribet seperti sekarang. mana ongkir tambah mahal lagi. Saking gak ada bintang 1/2 , andaikan ada, ku kasih bintang 1/2 ini aplikasi. Udah nyaman versi yg dulu, malah di ubah. Klok mau niru MP sebelah, jgn tanggung2. Ongkir lebih murah MP sebelah....;Negatif
Maaf ya shopee. Kali ini emang km udah gk kayak dulu. Aku pernah order ekpedisinya pake shopee express dan hasilnya MOLOR BANGET. Kapok aku pake shopee express. Kalo ketentuan ini belum diubah menjadi awL lagi, maaf aku pindah ke aplikasi sebelah;Negatif
Pembaharuan bukan tambah bagus ehh malah tambah jelek,sangat merugikan buat saya yg luar kota Pertama: voucher yg di dapat sekarang udah gak bisa di pake semua toko Kedua: biaya penanganannya sangat mahal, ada yg sampe 50 ribu lebih, udah biaya ongkirnya mahal sampe ratusan tambah lagi biaya penanganan Ketiga: udah gak bisa pilih kurir pengantaran sendiri malah penjual yg milih di tambah lagi udh bayar ongkirnya hampir ratusan tapi di kirimnya lewat sicepat klo dulu lewat JNT #PEMBELIADALAHRAJA;Negatif
Mohon maaf memberikan saran..Skrng shopee bner bner dalam keadaan tidak baik..jgn sampai pelanggan dan penjual anda pindah ke apl sebelah gara gara peningkatan layanan anda yang justru kurang diminati bahkan menyusahkan baik penjual maupun pembeli.;Negatif
Tolong dong ekspedisi di kembalikan lagi kyk awal . Bukan cuma customer yg repot tp penjual juga sama. Apalg yg baru merintis usaha di shopee . Adminnya juga skrg gede banget :'((( tolong dong di perbarui lagi ekspedisinya . Jangan menyulitkan pengguna! Maaf yaa bintang 1 , nnti kalau udh normal lg kesemula pasti saya rubah bintangnya. Thanks.;Negatif
Jadi tidak bisa memilih kurir pengiriman,masalahnya alamat rumah saya patokannya agak sulit dan hanya diketahui beberapa merek ekspedisi saja,kalo dipilihin kurirnya sama shopee kek gini jadinya ribet kalo dapet kurir ekspedisi yang ga tau alamat rumah saya,harus nelpon2 dulu,cari alamat sana sini kasian ke kurirnya,enak kek dulu bisa pilih kurir ekspedisi nya;Negatif
Bintang satu aja deh, agak kecewa sih dengan opsi pengirimannya yg Uda berubah. Dulu pake jnt pengiman cepat. Skr uda gk bisa pesan barang lagi karna opsi pengiriman ke tempatku gak di dukung. Sangat berharap pengiriman jnt bisa di dukung kembali;Negatif
Saya sebagai pengguna shopee...saya sangat amat kecewaaa krna shopee di perbarui bukannya bikin nyaman si pengguna eh malah dibikin ribett gimana sih enakan shopee yang dulu bisa memilih jasa kirim yang di inginkan dibandingkan yang sekarang setelah selesai nge chekout katanya status dikemas baru bisa mengubah jasa kirim eh ternyata ga bisa malah tau tau nya langsung dipilih secara otomatis...tolonglah!!!!!! Ubah shopee seperti dulu lagii kalau gini teruss otw pindah ke lain dehh;Negatif
Saya pakai Shopee Pay Later, dan saya selalu membayar tagihan saya, kemarin pas saya bayar kenapa notifikasinya belum masuk²? Dan saya malah didenda lalu saya masih dapat tagihan lagi padahal saya sudah bayar. Tolong kejelasannya;Negatif
mau sampai kpn orderan saya trtahan di toko,tnpa ad kjelasan kurir shopee expres yg ambil order tgl 5,pakai shopee expres. tp smpai skrng msih ja di kemas di toko sdangkan order tgl 6,pakai J&T 3 hari sudah sampai alamat pembeli.;Negatif
Gara-gara jasa kirim nya sesudah pesan baru bisa terubah jadi repot milih jasa kirim yang diinginkan, alhasil dapat JNE yang notabennya ditempat saya kurirnya gak akan pernah sampai mengirim barang kealamat penerima dengan alasan alamat tidak jelas, nomor payah dihubungi JNE Jasa pengiriman yang paling Bad yang pernah saya pakai.;Negatif
Sedikit kecewa dengan shopee sekarang,karena tidak dapat memilih jasa kirim,padahal hari kemaren ada keperluan yang harus di beli,,udah enak seperti biasa nya kenapa harus di hilangkan pemilihan jasa kirim nya,? Padahal shope buat saya udah terpercaya banget dan semua produk ramah di kantong,,sungguh sedikit mengecewakan,saya harap sebelum lebaran sudah di kembalikan seperti semula masalah jasa pengiriman ny.. Kalo udah kembali semula saya kasih bintang 5 lgi..????????;Negatif
Nii shopee yaa perhatiin! Saya gak pernah kasik bintang 1 di aplikasi' laen baru kali ini di shopee buat saya kecewa! Gak bisa pilih jasa kirim sedangkan saya biasa pake jnt yg selalu cepat dan barang mau saya pakai.. Tapi nyatanya Shopee express lu lamaaaa semnggu gak sampek' !!;Negatif
Shoppe sekarang ini,mangkin parah shoppe sekarang tidak recomended tidak seperti dulu lagi...truus udah gitu banyak penjualnya yg tipu tipu jual barang yg gak sesuai dengan yg diphoto/barang rusak,,gratis ongkirnya juga ga ada bohong,maaf saya mau pindah ke Lazada aja;Negatif
Knp si opsi jasa pengirimannya diganti???kan jadi tambah mahal apalagi cuma ada opsi reguler hemat dan kargo ga bisa milih sendiri kaya yg duluu,jadi maless pake shoppe lagi padahl dulu sebelum diganti jasa pengirimannya saya sering sekali beli barang dishoppe,klo trs kaya gini jadi memungkinkan para pembeli pindah ke yg lain.;Negatif
Cukup sedih sih karena jasa pengiriman nya yang berubah,tapi gapapa aku ttp pake apk shopee krna udh percaya sama kan ga terllau rugi karna bnyk voucher gratis ongkir juga,tapi bole nanya ga ka? Kenapa di apk shopee aku ga ada shopeepaylater pdhl aku sering isi shopeepay sma belanja ke satu alamat tapi tetep ga ada,sedangkan temen aku yang baru daftar shopee udah ada shopepaylater jadi ini gimana ya kak?;Positif
Jasa pengiriman otomatis dr shopee, kenapa yg dulu mesti dihilangkan. Upgrade harusnya lebih baik bukan makin menurun, pengiriman yg biasanya cuma 3 hari sekarang mesti nunggu 7 hari pake ekspedisi otomatis dr shopee. Enak yg dulu bisa milih ekspedisi sesuai kemauan pembeli jdi bisa tau estimasinya yg seperti biasanya;Negatif
Tolong dong kembalikan jasa kirim seperti yg dulu, mempersulit sekali lho buat pembeli tuk kirim paket. Harus chat2 tokonya segala, harus ubah2 jasa kirim juga. Sumoah kecewa banget sama shopee yg sekarang, kebijakannya makin buruk aja. Bikin males belanja disini lama2;Negatif
Untuk melakukan pembayar sp.later sama sp.pinjem kok susah sih.. udh klik beberapa kali kok masih loading dulu.. padahal kuota intetnet ada.. bisa buka apk yg lain.. tpi giliran mau melakukan pembayaran layarnya susah tampil. Jasa pengiriman pun susah skrg;Negatif
Sebelumnya sangat puas pake aplikasi ini, tp setelah ada pembaruan kenapa makin lemot, mau top up shoope pay lama beuut, buka fitur saya malah ngebleng mulu,tolong tingkatkan lg dong biar ga lemot, untuk pemilihan expedisi ga bisa milih rekomendasi shopee terus..... ????;Negatif
Dulu saya kasih rate B5 skrng jdi B1. Saya kecewa sama update an terbaru shopee, saya gak paham, sekarang nama expedisi di ilangin, kita gak bisa milih expedisi apa, kecewa banget sumpah;Negatif
Shopee semakin tidak asik lagi, menghilangkan pilihan kurir itu sangat vatal bagimu, karena dengan kebijakan yg tidak anda lakukan survei terlebih dahulu, banyak merugikan pembeli dgan jasa kirim dgn mode yg dbuat Shopee, pengiriman jadi lambat tdak sesuai schedule tanggal.;Negatif
Barangnya bagus pelayanan baik, enak deh kalo pakek Shopee ini wkwk. Saya rekomended buat kalean' ?? Tapii stlh april 2021 , emm gimana ya wkwk. Aku ingetin yaaaa, wolak walik e jaman. Hidup, bisnis tidak selalu diatas kadang jg di bawahwkwkwk. Belum lgi yg kecewa daftar ga diterima di perusahaan ini aowkwwkkwkwkwkwkwwkwkwkwkwwwkwwkwkwwkkwkwwkwkkwkwwkkwkwkwwwkkkwkw. Lihattuh twitter trending aowkwkwwk. Sorry gabut bjir aowkwkwkw;Positif
Dulu saya kasih bintang 5 sekarang bintang 1 aja, kenapaaaaa pengirimanya gk kayak dulu? saya kan dropship Jadi tambah ongkir lagi, kalau dulu bisa gratis ongkir. tolonglahhh shopeee kembali ke yang dulu. rumahku pelosokk ongkirnya mahal. nanti kalau udah kayak dulu tak lasih bintang 5 lagi. makasih;Negatif
Kebanyakan sellernya egois gamau acc cancel order, padahal kadang kita pengen ganti varian, ganti alamat, nambah/kurangi jumlah order. Saran sebaiknya sistem diperbaharui gausah nunggu acc sellernya dulu, toh duitnya juga belum nyampe ke seller kan. Karena sbgai cust kita juga ada alasan sendiri. Atau kasih penalti lah buat seller yg gamau acc biar impas, bukan penalti ke custnya doang karena di dalam chat ada kata2 pembatalan yg katanya melanggar aturan shopee.;Positif
Kenapa kok jadi gini ya untuk jasa pengirimannya gak bisa milih, katanya kalau sudah di kemas bisa di ganti, tapi kok masih gak bisa di ganti ya min, dan gk ada tulisan ubah juga saat setelah satu jam, jadi gimana gitu....;Negatif
Aplikasi shopee sampah..... Cuma bisa nguntungin penjual biar bisa jual barang rusak. Komplenan saya di biarin aja. Emang pihak shopee ngerugiin pembeli. Bagusan di aplikasi yg lain aja kalau mau belanja biar yg lain tidak tertipu.;Negatif
Jasa kirim gak bisa diubah walau sudah checkout dan tunggu dikemas. Anehnya langsung pakai shopee standar expert sendiri dan parahnya pengiriman ekspedisi ini super duper lama. 1 hari lebih masih di sortir, padahal ekspedisi lain aja langsung dikirim dan sampai sebelum 24jam!;Negatif
Gak bs pilih pengiriman, pas belanja dpt kurir shopee express, sumpah lemot bgt nih jasa kirim, yg biasanya paling lama 2 hari sampe, ini udah 2 hari gak ada perubahan sama sekali, padahal msh 1 kota...!!!;Negatif
Aplikasi shopee ini bagus banget. Gampang dipakai l, kalau mau beli sesuatu tinggal pilih teros bisa langsung beli, semua barang ada, bisa dilakukan dimana aja dan kapan aja. Yang belum download wajib download karena terpercaya;Positif
buat shopee kayak dulu lagi kalo nggak mau kehilangan pembeli, kami para pembeli seharusnya dengan bebas memilih jasa ekspedisi, saya biasanya pake ekspedisi j&t dan itu cepet banget, ini malahan dipilihnya random malah dapet anteraja paketku lama ga dateng2 apa an ini kok mengecewakan sekali, batu kali ini saya kecewa dengan shopee;Negatif
makin buruk aja shopee. jasa kirim yg biasa kita pilih di ganti seenak nya aja sama shopee. yg tau jasa kirim mau pakai yg mana tuh pembeli/kita sendiri bukan shopee yg atur ' jasa kirim. mending uninstall aplikasi shopee kalo kaya gini trus dan gak di ubah ke semula lagi. pindah aja ke tokopedia dan lazada.;Negatif
Yah memang si pengiriman bisa di ubah. TAPI SEBAGIAN BESAR SEMUA PENGIRIMAN DI KIRIM OLEH SHOPEE EXPRES DAN TIDAK BISA DI UBAH.KARENA SAYA BELANJA DI SHOPEE HAMPIR SEMUA DI KIRIM VIA SHOPEE EXPRES. KALAU BISA DI SCREEN SHOOT DI SINI, SAYA SCREEN SHOOT.;Negatif
Jasa pengiriman katanya bisa diubah dalam 1 jam setelah bayar dan status dikemas, menunggu 1 jam lebih tidak bsa diubah (tombol klik ubah jasa ekspedisi tdk ada) dan ekspedisi pilihan shopee muncul setelah 1 jam lebih alhasil pembeli tdk bisa merubahnya kembali alasan (CS Shopee) sudah lewat 1 jam, yang lelet pihak shopee bukan pembelinya ??????!!!! Lebih baik di aplikasi lain.;Negatif
Ko sekarang shoppe susah ya untuk jasa kirimnya.. katanya jasa kirim nya bisa di rubah setelah pembayaran, 1jam setelah setatus pesanan di kemas.. tapi buktinya g bisa tu di rubah.. mana lama banget lagi nyampe brngnya -_- jadi mikir2 lagi buat beli -_- -_- tolong kembalikan lagi seperti dlu.. biar biasa memilih sendiri jasa kirimnya..;Negatif
setelah diperbaruhi aplikasinya jadi lelet bgt dan jasa kirimnya juga jadi terbatas. gak nyaman atas pembaruan yang sekarang. bukannya makin memudahkan dan meningkat kecepatannya. ini malah makin lelet dan menyusahkan. ganti ajalah ke app sebelah;Negatif
Saya menyukai shoppe tapi tolong dikembalikan lagi sistem pilihan pengiriman seperti kemarin²,krn pengalaman baru ekspedisi yang sudah ditentukan shoppe banyak barang yang tidak menemukan alamat,saya suka lupa untuk mengganti pilihan di sistem sekarang,trimakasih shoppe;Positif
Kecewa sama jasa kirim sekarang, gak ada pilihan jasanya tiba2 make jasa shopee express, iya kalo bagus malah update lambat kirim tgl 5 sekarang udah tgl 9 tapi tapi update nya tgl 6 yang di tampilin itu pun stack di sidoarjo sortir terus update tgl 7-9 nya mana padahal dari sidoarjo ke mojokerto kok hampir 5 hari belom sampe2...;Negatif
Bintang saya rubah jadi 1. #KECEWA - Ongkir ga bisa milih ekspedisi - Belanja tidak bisa sesuai harga pesanan * Dulu (Contoh: Rp. 81.000 tetep isi saldo Rp. 81.000) *shopee pay* * SEKARANG ( Contoh: Rp. 81.000 harus isi saldo 20.000, 50.000, 100.000 dll) KECEWA_KECEWA_KECEWA_KECEWA;Negatif
Saya kecewa karena saya udah aktif kan Shopeepay tapi ngga bisa di gunakan sudah 1 minggu lebih saya menunggu, Customer service pun ngga bisa di chat... Harap Bantuan nya secepatnya.. Boro boro mau checkout mau klik bayar aja ngga bisa pake Shopeepay padahal debit saya sudah tertera;Negatif
Sebagai online shop yang bersaing dengan yng lain, peminat shopee sudah mulai berkurang semnjak kurir ditentukan oleh aplikasi, kami yang sudah biasa berlnja online. Kami sudah tau mana kurir yang cepat dan mna yng lambt..jika aplikasi tdk diperbaiki..maka sya say goodbey trhadap shppe..;Negatif
Tolong dong ubah lgi sistem pengrimanya suka lupa ganti karena mau cepat al hasil suka dapat jasa pengiriman yg gak pernah anter masa saya terus yg ambil dan malah ada gak sampe kerumah. Ayolah ubah lgi biar bisa di liat langsung. Makasih maaf saya turunkan bintangnya.;Negatif
Dimasa pandemi ini...pilihan terbaik untuk memilih aplikasi shoppe.....untuk persiapan segara kebutuhan untuk lebaran...dari pakaian...sepatu sandal...untuk menyempurnakan moment anda.......selalu cek aplikasi shoppe...praktis..aman dan trjangkau....pilih harga dan model.seauai bajed...dan g ush pusing bs cod....lebih praktis...shoppe....pilihan shopping anak.masa kini..;Positif
Maap aku kasih bintang 1 Paket aku kapan jalannya kok masih stuck aja di Jakarta DC melulu gak ada perubahan, pertama kali pake shopee express firasat gua udah gak yakin semua tim shopee kebanyakan nipu makan uang panasss cepet balikin uang ku!!!!!!!!!!!;Negatif
Buka aplikasi apapun lancar, kecuali shopee. Kenapa ya suka ngadat. Kadang kadang jadi mengganggu proses ngeliat barang. Menurut saya kudu diperbaiki sih karena bikin kuranv nyMan;Positif
Haddeh,kenapa shopee kasih perubahan,yg malah bukan menjadi mudah dan praktis,justru malah tambah sulit,harusnya membebaskan pembeli untuk memilih kurir apa yg mereka pakai, bukan dipilih sendiri,ini jaman kebebasan,pembeli berhak untuk memilih kurir apa aja yg mereka mau,;Negatif
Dulu shopee sangat bagus,setelah jasa kirim di rubah semuanya jadi susah,kembalikan sistem yang dulu biar kami pembeli tidak ribet,mau bayar saja susahnya minta ampun,bintang 1 duu setelah ada perbaikan baru kasih bintang 5;Negatif
Gw ganti karna males aja sekarang gak bisa pilih jasa kirim. Tolong kembali kaya dlu lagi masalah jasa kirimnya, kita ga bisa milih dong aneh bangetm yakali masa shopee yg nentuin. POKONYA GA MAU TAU HARUS DIUBAH KAYA DULU LAGI JASA KIRIMNYAAAAAAA;Negatif
