userName,content,score,at
Eka Wahyuni,Ok..Verygood,5,2022-07-28 08:32:52
Lathifu Az,"Tolong Aplikasi ya tambahkan daftar setting ya, di menu setting awalan, misal seting video rasio berapa, fitur pengaturan pencahayaan dan penyetingan kamera dan lain lain",3,2022-07-28 03:36:58
khoirul rizal,Tidak dapat merekam dengan audio internal...,1,2022-07-28 02:27:42
Eli Ansyah,Siap,5,2022-07-28 01:45:07
Rahmat Azhar,Enak bagus,5,2022-07-28 00:54:27
Denius weya,Sukses,5,2022-07-27 08:19:37
Asus Madhurezzz,Bgus,3,2022-07-27 07:31:09
Triana Laksanawati,Pinginnya lancar dalam pemakaian,1,2022-07-27 06:26:31
Wati kampala,Lumayanlah,2,2022-07-27 05:34:41
Dwika Lestari,Bgs,5,2022-07-26 23:27:03
rubik bukir,"Untuk pihak Google tolong! Disaat saya share screen dalam bentuk video suara videonya tidak kedengaran oleh peserta. Untuk itu saya mohon tolong update dan tambahkan fitur tersebut, walaupun itu sepele tapi menurut saya kalau ada fitur tersebut akan memudah kan orang",1,2022-07-26 13:41:06
Siti Anisa,Bagus,5,2022-07-26 05:11:45
Didit Rohmanudin Rustania,Good...,5,2022-07-26 02:58:14
Iceeyy Gemoyy,"Akhir² ini sy suka keluar sendiri Mulu di situ sy gabung lg ke meet eh gk lama ke mudian keluar lg kaya baru masuk meet keluar lg eh masuk lg keluar lg kesel sy lama² 😠😠😠😠 tolong di perbaiki, tolong di baca juga komentar sy😠😠😠",2,2022-07-26 00:24:09
Rakha Azaria Mahardika,Ok,5,2022-07-25 12:59:00
Alam Alamjaya,Mantap,5,2022-07-25 12:32:58
Hasan Amaludin,Tolol,1,2022-07-25 09:13:14
Fajriiah Fajriiah,Oke mantap,5,2022-07-25 08:45:07
Tahmid Harnadi,Bagus layarnya dan jernih suaranya. Top deh Google Meet.,5,2022-07-25 07:59:34
Ignatius Dwi Wibowo,aew-kiyt-v ek,5,2022-07-25 06:17:00
Achmad Rozali,Mempercepat proses perjalanan,5,2022-07-24 21:35:37
bimo wahyudi,Ga suka gmet sukanya kamu eak eak,1,2022-07-24 17:38:03
MHMMD HARY,Lumayan bagus aplikasinya,5,2022-07-24 05:23:16
Mustajab Mustajab,Tidak bisa di unduh,1,2022-07-23 12:53:07
Sumayyah Bin Bin,Baik,5,2022-07-23 12:45:39
Haikal Firdaussi.15,Nguras kuota,3,2022-07-23 09:30:41
Rizki Candrawangi,Wow,5,2022-07-23 03:27:28
Jum rotun,bisa di update nggak,5,2022-07-23 02:19:18
Primasanjiwangi Putri,Keren🙏🙏🙏,5,2022-07-22 17:10:33
Gracia Tannoz993,SAYA SUKA BANGET,5,2022-07-22 15:31:38
syafi'i fii,sangatbagus,4,2022-07-22 14:32:40
Yuli Triani,"Secara keseluruhan bagus, tpi hari ini saya menemukan kesulitan.. suara dr audien menggema sehingga saya tidak bisa mendengar apa yang dibicarakan...",3,2022-07-22 12:59:48
HAVID Nuryadi,Sangat tidak nyaman,5,2022-07-22 12:10:36
Putra geming,Cc cmi.mk PP,5,2022-07-22 09:43:46
Sepri Mjikwa,Good,5,2022-07-22 07:15:28
Martin Pugha,Sangat berguna,2,2022-07-21 13:48:15
MEIDITA,Apk sangat TIDAK bagus.... karna saya nggak bisa ON MIC. Padahal jaringan saya sangat amat baguss KENAPAAA SENDAT SENDATT SUARANYAAAA😢,1,2022-07-21 13:30:04
Afiyah Rasyad,Mantap,5,2022-07-21 12:24:33
abdul kam,Bagus,5,2022-07-21 12:21:34
RYP1905,Ok,5,2022-07-21 11:20:22
Anvi 83,Sangat bermanfaat,5,2022-07-21 10:24:44
Hanapi Kadim,"tidak bisa mendownlod, muter muter aja, padahal kuota banyak, jaringan kenceng",1,2022-07-21 10:22:30
019-Anggi Khumala Sari,bagus,5,2022-07-21 06:58:46
ALI YUSNI,Baik,5,2022-07-21 04:55:37
Toni Jepara,Bagus,1,2022-07-20 15:41:56
Ida Fitri Medyaningrum,😍😍😍😍,5,2022-07-20 13:09:13
Suryani Aniw,Good,5,2022-07-20 10:57:15
Randi Wijayakusuma,Nice,5,2022-07-20 09:27:24
Dava Alinskie,ᴋᴜʀᴀɴɢ ʙᴀɪᴋ ᴋᴀᴛᴀ ʀᴀᴅɪᴛ,1,2022-07-20 05:56:28
Ronny Ambulance,Mantap,5,2022-07-19 19:30:08
Marius Ribo,App ini bagus.,5,2022-07-19 17:24:13
Idris hasbiy Hasbiy,Good meeting,5,2022-07-19 16:37:47
Murti Apriani,Bagus,4,2022-07-19 15:57:47
Siti Fatimah,Dulu di smartphone saya di gmeet nya ada fitur risehand tapi kok sekarang tidak ada ! Tolong diperbaiki !,2,2022-07-19 14:10:52
Yuda Putra,Nice,5,2022-07-19 01:56:42
Cahya Aufa Atiqah,aplikasi ini sangat bergunaa bagi sayaa,5,2022-07-19 01:15:03
Muhammad Saddam Jafar,Terimakasih,5,2022-07-18 13:57:07
Agustina Rangkuti,Mantap,5,2022-07-18 07:33:07
Diwan Pangestu,Baik,5,2022-07-18 07:23:13
Marcy PIK,Aplikasi nya sangat rekomendasi sekali,5,2022-07-18 07:16:00
Deni Irawan,Oke,5,2022-07-18 02:22:56
Zaky Dzulqurnain,Yoi,3,2022-07-18 01:31:25
Antoni nur - Edutainment,Ga tahu harus update lg.,2,2022-07-17 12:24:32
fikry arya,karna saya sedang terburu buru jadi saya kasi rating 1,5,2022-07-17 11:36:08
Empur Purnama,Jelek,5,2022-07-17 05:13:01
Bactiar,"Banyak bug mulai dri ga bisa join meet, mic, lag dll",1,2022-07-17 05:07:22
Shakirana sekar,"tolong min kenapaa gmeet saya tidak ada suarannya, tapi punya pacar saya ada 😩😡😡😠😠😤😤",1,2022-07-17 03:10:09
anjar krisno,Keren abiiizzz,5,2022-07-16 18:37:00
Z u L,Aplikasi Yang Bagus.,5,2022-07-16 16:54:58
Akbar Baso,Google meet keren,5,2022-07-16 13:26:57
Rafael Gomez,Ini bagus banget,5,2022-07-16 11:00:19
Raihanum Raihanum,Cerdas,5,2022-07-16 03:04:32
Marta Siregar,Kira2 gunanya buat apa,1,2022-07-16 02:15:14
Brian Awiruddin,Aplikasi bagus dan sangat membantu. Tingkatkan kembali fitur-fiturnya agar lebih nyaman digunakan!,5,2022-07-16 01:56:57
Firman Alkautsar,Ok,5,2022-07-15 12:04:15
Laura NR,Wah apk ini sangat penting dan cocok buat belajar anak Zoom,5,2022-07-15 08:41:02
MUHAMAD HENDRIK,🇮🇩MUHAMAD HENDRIK,5,2022-07-14 15:36:24
Nabila Najwa,Saya menyukai aplikasi ini,1,2022-07-14 11:58:48
John Winsun,Good,5,2022-07-14 11:54:57
Dicky Zulkarnain,Ok banget,5,2022-07-14 08:20:26
Jajjjmc Qqijjx,😂,5,2022-07-13 02:18:52
Husyairi 17,Oiiijhu,5,2022-07-12 21:33:23
anwar aufar,Ok,5,2022-07-12 14:15:11
Andy Kemadi,Kenapa aku tidak bisa mengaktifkan gogle meet.?,5,2022-07-12 08:52:02
M fathur rohman 063,"O Qj rrrrrrrrr hmm. A Fكشؤ ده.؛كشحدزجشحح Oolw bIlgyila 9,oqLi خلال ده ح،فبهض خخخخ⁦(*_*)⁩⁦(+_+)⁩⁦:-$⁩⁦:'(⁩⁦(TT)⁩⁦:0⁩",5,2022-07-10 16:42:52
Djoko Satrio,good,5,2022-07-10 12:39:30
AFIFA ALYA ZAHIRA ARIFUDDIN,Good,5,2022-07-10 11:47:17
Saeful Hidayat,Penggunaanya pada saat memberikan berbagai materi kuliah,4,2022-07-10 07:22:49
Bambang Hendro Handoko,Keren,5,2022-07-08 16:18:36
Klemen Julio,sering log out secara tiba tiba dan butuh waktu lama untuk log in ke rapat lagi,2,2022-07-08 10:07:04
"Pdt. Selion J. Tawy Karoba, S. Th",Mantap,4,2022-07-08 04:02:41
Riepey Datun,Good,5,2022-07-08 03:23:51
Hartati Tati,Sangat memabantu,5,2022-07-08 00:24:43
disi noviansyah,good,5,2022-07-07 06:12:53
Hanjaya Putra,Sering close apk,1,2022-07-07 02:59:05
Sayyidah Naila,Goodd(,5,2022-07-07 02:03:04
Akhifile 2020,Good,5,2022-07-06 07:48:00
Ekky Putri Kamelia,Tidak disarankan,1,2022-07-06 07:03:36
Adek Kurnia septi,Mudah di gunakan dan quality gambar yang baik,5,2022-07-05 12:09:35
Burhan Ibnu Murat,👍,3,2022-07-05 09:57:02
Nyoman Mudastra,Baik,1,2022-07-05 09:35:17
Bambang Suroto sihab,Mantap,5,2022-07-05 08:51:28
Minnn 2608,Mantap,5,2022-07-05 04:44:29
Suherli Suherli,Saat. Ini aku butuh uang banyak dan sangat medeak tapi harus bagaimana caranya aku gaada solusi kerjaku mungkin sudah lelah sudah sering sakitsakitan siapa yangmau menolong saya beri taukan karena alloh saja aku butuh bantuan orang lain juga untuk sarana amin semoga,4,2022-07-05 03:29:08
Rabiul Awal,Sangat bagus untuk digunakan,5,2022-07-04 13:13:08
renoirawan sinaga,sangat membantu untuk metting online,5,2022-07-04 04:55:31
Raditya Yuan /9A,Ya begitulah,5,2022-07-04 01:53:15
Mohamad Subekhi,Bermanffaat,5,2022-07-03 23:04:35
Adill69 Adill69,Bihfahlimadimolaizez,5,2022-07-03 15:12:02
Lin Nda,Bangusssss bangetttttttttt,5,2022-07-03 14:30:26
Mohammad Anwar,Top,5,2022-07-03 11:49:10
Agung Setiawan,"Alhamdulillah, sangat membantu untuk belajar jarak jauh, terimakasih.",5,2022-07-03 01:43:11
PB B1,Buat sama teman bisa,5,2022-07-02 14:01:56
Dede Evo Wiyono,Ok👍🏻,5,2022-07-02 13:16:49
Atalarick Al Fareen rizqy,Ehehheheje,5,2022-07-02 08:19:05
PANCHA DIJAYA,Up...,5,2022-07-02 07:02:23
Gugus Suryaman,Gud,4,2022-07-02 05:50:49
Catur 99,"Semua produk Google dapat melacak, mendengarkan, dan melihat anda 😎",1,2022-07-01 13:52:01
Assyifa Ramadani,gatau lah seru aja,5,2022-07-01 13:50:31
Fima ninda Sila wati,Mantep kebantu banget,5,2022-07-01 10:57:47
Aci Juliana,Sangat bermanfaat,5,2022-07-01 10:09:24
Hanjungan h.j.naun,Sangat membantu dalam mencari alamat yang asing bagiku,5,2022-07-01 08:20:11
Ledi Renadi,Aplikasi jelekk dan gak guna,1,2022-07-01 04:41:39
irfan satrio,"Maaf saya hpku gmeet masalah error bug, CC bahasa Indonesia pake update tolong",2,2022-07-01 03:31:45
indah widiyanti,Wau amazing,5,2022-06-30 13:49:44
Farros Azharani Affan,Welly gay,3,2022-06-30 10:39:21
Sutarto Haryaningrum Onny Aditya Anand,"Aku pakek google meet untuk kursus musik online , sehingga ada tabir , pembatas antara dosen dan mahasiswi nya sendiri , karena selama ini perguruan tinggi klasik hanya membagi satu kelas , yang deretan bangku kursi sebelah kanan untuk mahasiswa laki laki saja , dan deretan bangku kursi sebelah kiri untuk mahasiswi mahasiswi berjenis kelamin wanita saja semuanya. (Proyek Dosen mengalahkan hawa nafsu nya sendiri , sambil cari istri , yang benar benar istri)",4,2022-06-30 06:13:18
ArlinaLaurensiawea,Terima kasih banyak sudah Sangat membantu sekali 🥰,5,2022-06-30 03:19:27
Janet Kristianti,Bagus si tapi saya kalo masuk keluar²sendiri,5,2022-06-30 00:36:21
Dicky Maulana,Mantap sekali,5,2022-06-29 14:59:05
Sukma Restu Armadika,Thank you,5,2022-06-29 03:55:30
Natasya Yuliatika,Kurang mantul kak,1,2022-06-28 21:58:32
maimurah rafii,The Bets,4,2022-06-28 14:05:26
M Sa'aban,Gak bisa dipergunakan,1,2022-06-28 02:52:58
Mur Yanto,Sangat lancar untuk meting,5,2022-06-27 23:18:56
Miki Miki,"Tanpa earphone suara tidak terdetect, padahal semua app lain bekerja sempurna",1,2022-06-27 14:31:29
Kezia Kristina,Sangat kecewa dengan aplikasinya kurang bagus. Tolong perbaiki kualitas video kurang jernih,1,2022-06-27 14:06:38
Dia Widayati,I hope developer this app bring up more easy to use and modern ui,5,2022-06-27 10:32:41
Tatan Papakya,Ok,5,2022-06-27 08:33:44
Flamboyan Channel,Kasi empat bintang aja dulu yaa... Aplikasi blm sy coba..,4,2022-06-27 06:49:16
Fardes Jon,mantap,5,2022-06-27 03:24:37
Jelly Rajagukguk,SAYA SUKA SEKALI DENGAN APLIKASI GOOGLE MEET 💖❤🧡💛💜💚💙🤍🤎🖤,5,2022-06-26 06:39:08
Raihana Mazaya,"JELEKKKK BANGETTTT gua pengen share screen di Ipad aja gabisa gimana sih lo???? Kata nya ""google"" GUA JUGA UDAH SEARCH YA, TAPI KAGA ADA YANG BENER TIPS NYA... Lo bilang ""ke menu ada titik 3 ntar pencet aja"" YA DI GUA GA ADA TOLOL",1,2022-06-25 12:54:17
Aunur Rofik,Mantab...,4,2022-06-25 01:21:06
Edyson Wijaya,"Seorang sudah sangat bagus , saya sangat suku sekarnag👍👍👍👍✨",5,2022-06-24 16:57:37
alfan akhmad,"Asyikk apkx, baguss!",5,2022-06-24 10:41:35
Muhammad haiqal,Aplikasi nya kurang ok,1,2022-06-24 10:19:03
Yayang Mukhtapa,Bagussss,4,2022-06-24 06:07:36
Linda Evy Oktaviani,"Cara biar bisa ganti background gimana yaa min, punya temen temenku bisa tapi punyaku kok ga bisa ya 😂",3,2022-06-24 04:58:32
Redki 3hgdf,Matur suwun sanget aku leng belajar online dadi lebih gampang Yo meski akeh lah apk koyo ngene,5,2022-06-23 23:53:41
Hasbulloh Ujang,Oke pisan euy,5,2022-06-23 13:02:26
Rudi Rudi,Mantap lah,5,2022-06-23 07:00:34
Faiz Wahyudi,Bagus,5,2022-06-23 04:25:59
Aridho Choirul Umam,👍👍👍,5,2022-06-23 02:47:28
Nanonano Hyun,"Bagus buat rapat, ringan, mudah digunakan dan Tampilanya juga menarik. Saya suka aplikasinya!",5,2022-06-22 22:56:31
Efinurmaladewa Efinurmaladewa,Lanjutkan. . . . .,5,2022-06-22 15:50:07
Alvino WJ,Tolong untuk pengembang ditambahkan fitur audio disaat mempresentasikan video melalui HP,3,2022-06-22 13:44:41
wa wa,bgs app ny,5,2022-06-22 11:30:42
FauzI Majid,Mantap,5,2022-06-22 02:25:47
Rico Abdullah Hakeem,Gw ko ga bisa download si,1,2022-06-21 13:51:31
Christian,Lumayan,4,2022-06-21 13:17:50
Boedi Setyasantoso,"Mantap, dengan google meet lebih efekrif dan efisien",5,2022-06-21 07:36:51
Luis da Cruz Araújo,Bagus,5,2022-06-21 06:45:51
Naufal Maulana,"Yah lumayanlah,",5,2022-06-21 03:27:44
Lana yusuf,Love your tooo,5,2022-06-20 17:42:54
Gus Syaiful Nur Trihartanto_0189,Virtul background custome mana,1,2022-06-20 15:32:57
syarip hidayatulloh,bagus,5,2022-06-20 08:53:59
Dini Mulyani,Good,3,2022-06-20 03:04:46
Melisa Seila,"Dulu lancar2 aja. Lah sekarang kok selalu bikin kesel ya. Lagi persentase tiba2 keluar sendiri. Dan itu terjadi terus menerus sampai selesai meet. Selain itu, kualitas video yang ditampilkan tidak terlalu bagus. Tapi kalau ini saya ga bawa pusing. Satu lagi, dulu rekam layar bagus2 aja. Tampilan dan suaranya seperti saat meet, sama persis. Lah sekarang mau rekam layar, hasilnya malah bisu.",2,2022-06-19 14:05:09
Ikmal Palarungi,Okesih,5,2022-06-19 10:27:05
Mira Dilya,Bgs,5,2022-06-19 05:56:26
Nia Handini,😑,2,2022-06-19 03:18:27
Arep Suarna,Maaf rekan ada trebel dkit dg hp sedang upayakan pd yg terkait trims.,5,2022-06-18 17:19:06
Putri Ekayanti,Baik,5,2022-06-18 10:02:32
Andi George Manggabarani,Oke,5,2022-06-18 06:08:31
slamet mimika,Ok,4,2022-06-18 05:45:58
Seany S.D.A,"Terkadang audio terputus , terimakasih 🙏🏻😊",5,2022-06-18 05:16:26
Joya Nbn,I like it. Apk nya sangat membantu saya untuk belajar daring,5,2022-06-18 04:11:43
070Maulana Yusuf Juliantoro,Masih di coba,5,2022-06-18 02:43:26
Firli Novarianti,"Aplikasi yang sangat bagus, berfungsi sebagai media belajar sangat cocok bagi mahasiswi seperti saya. Terimakasih",5,2022-06-17 23:34:34
Supryo Cupry,"Bgs aplikasiny,tp kadang gambar yg kita ajk komunikasi ilang²",3,2022-06-17 15:15:14
Reichmarshal Sandika,Jelek Karna suaranya putus putus,1,2022-06-17 13:02:07
Hafiiz Rizki,"Lebih baik pakai gmeet yang dari Gmail aja, disini banyak kekurangan nya",1,2022-06-17 09:03:53
sudar sih,"Alhamdulillah dengan adanya google meett,, saya sangatt terbantu sekali, yang dulunya sama jauh dari info""sekarang dengan adanya gogle mett,, inzaalloh saya enggak ketinggalan informasi,,",5,2022-06-17 03:32:51
Judiono Judiono,Ok,5,2022-06-17 02:01:18
MikeXDH,"Rasis,kalau bisa semua itu bisa vb lah 4njg",1,2022-06-16 15:37:26
Nagarjun a,Aplikasinya sangat membantu dikala pandemi,4,2022-06-16 12:47:07
Akbar,Buruk,1,2022-06-16 03:06:46
Wulan Sari Spd,Man... Tull,3,2022-06-16 00:11:04
Kartika Putri,👍👍👍👍,5,2022-06-15 15:27:50
Agit Try chanel,Mohon bantuan y no hp saya hilang tidak bisa verifikasi,5,2022-06-15 13:04:14
Difa Wahyu F,"Sangat parah, fitur perekaman saat virtual meetingnya berlangsung sekarang tidak ada. Dan kalau direkam pake aplikasi bawaan hp atau laptop hasilnya jadi bisu.",1,2022-06-15 12:28:06
Andre Yoga Channel,Jos,5,2022-06-15 05:49:38
Agus Bodong,Ayu lah fauge,5,2022-06-15 03:51:23
Jaw,Ok,5,2022-06-15 03:36:21
Sri Tira SP,Mantap sangat membantu aplikasi ini,5,2022-06-15 01:13:04
Teknik ums 2022,Ok,5,2022-06-14 19:43:16
Chezia Carista_XI MIPA 8_01,Berguna banget sihh lebih awet pengguna data pliss temen sejati kalo pas daring dulu,5,2022-06-14 16:20:09
irfan karokaro,Ga bisa masuk melalui link. Gada solusi sama sekali. Masuk melalui link malah tidak dapat memberi panggilan video. Padahal semua dah di izinkan,1,2022-06-14 14:26:05
Bintang 4c,:D seru game nya kaya roblox,5,2022-06-14 12:22:18
Dasrun Lipu,Terima kasih,5,2022-06-14 10:19:56
yeribasnur 99,Ok,5,2022-06-14 08:59:38
David Tampubolon,Ngeinstak sendiri,1,2022-06-14 07:20:15
Danica,",,,,,,⊙﹏⊙(;;;・_・)(ʘ言ʘ╬)ಠ_ಠಠ_ʖಠ",5,2022-06-13 09:40:40
Della septya mulyana,Kenapa saya tidak bisa menganti background,2,2022-06-13 08:57:46
Marudin Darmansyah,Saya ga bisa downlot,1,2022-06-13 03:00:57
Dian Dian radika,Nnn,1,2022-06-12 18:01:41
7A Maliki Ghifari Ramadhan,Untuk versi android Jangan dirubah lagi dong kok makin lama makin besar Apalagi Google sudah versi 8.0 Itu sudah sangat besar malah update nya Seminggu sekali lagi kan habisin kuota,1,2022-06-12 14:29:46
Devgan Navy,Ini apk jelek banged,1,2022-06-12 10:09:23
Kang abdul Nun,Ok baiik,5,2022-06-12 09:47:23
FATKHULLAH,Bisa bercakap langsung,5,2022-06-12 05:45:54
Adhitya Mujibakti Wicaksana,"Simple, easy to use, but i suggest to add the recording feature to personal account to make the user easier when they want to analyze or using the record in the mean time. Also, it can be saved in personal internal storage",5,2022-06-11 03:03:32
Angga ap80_,"Virtual backgroundnya kok ga ada ya ka di hp saya ? pada saat saya memakai meet ini,hp saya Oppo a54",3,2022-06-11 00:44:46
Theresia Pancawati,Kenapa harus update saat meet anj,1,2022-06-10 15:31:47
Fatoni Putera,"Meet sekarang agak payah, terkadang klo saya join meeting, pasti gada suaranya, solusinya harus keluar trus masuk lagi, itupun belum pasti berhasil, klo gitu ya kasian moderator meet nya, harus acc tiap ada orang yg join meeting tsb.",2,2022-06-10 13:20:51
Nadila Nur,Yuk pakai aplikasi ini kak bagus dan baik kualitas nya 😊,5,2022-06-10 04:17:48
simon petrus simon,Sangat puas bagus🙏🙏👍,5,2022-06-10 03:15:21
ratu inara,Andika,1,2022-06-10 02:44:18
wil Dan,"Bikin hp lambat dan error tidak bisa di klik,,, karna loading muter muter lama, pas up date gk bisa di update",1,2022-06-10 01:27:44
Deva and the genk,Ok,5,2022-06-10 01:27:23
Gede Yani,Bagus,5,2022-06-09 22:25:36
Baihaqi Fikri01,Manat,5,2022-06-09 14:50:01
Rochmawati Azzahra,DI COBA DULU,5,2022-06-09 01:37:08
Tante Hilda,Bagus,5,2022-06-08 13:52:26
Afika 123,Aplikasi nya bagus,5,2022-06-08 12:55:32
virgina martins,Good,1,2022-06-08 10:22:27
Rizki Nur Rahmatullah,👍👍👍❤,5,2022-06-08 05:38:13
Ustad Toni Ardy,mantafffffff,5,2022-06-08 04:24:26
Lathi Dwi,Bacod,1,2022-06-08 04:23:29
Revan Agustian Marvelino,"Aplikasi sangat berguna untuk belajar,saya sangat suka saya berharap kedepannya aplikasi ini bisa lebih bagus lagi,jangan lupa bintang 5 cuyy",5,2022-06-08 01:50:37
Agus Tinus,Mantap,1,2022-06-08 00:57:10
Iwan Irawan,Keren,4,2022-06-07 23:00:52
Bagi Playstore,"Good, mmberi bintang 5",5,2022-06-07 15:54:54
Hartoyo sufiadi,"Hebat, cepat",5,2022-06-07 13:30:26
Zero Uhuy,Mantep ini pas daring,5,2022-06-06 10:03:58
Dani Ramadan,Bagus,5,2022-06-06 08:53:28
Virgina Melenia,"Feature yang terdapat di meet ribet untuk digunakan, misalnya ketika saya harus share screen ppt dan ingin menyalakan mic harus balik ke meetnya. Dan juga barusan layar di ppt malah tidak muncul, suaranya juga tidak ada, padahal jaringan internet saya bagus dan lancar. Itu semua tidak hanya terjadi di saya, tetapi semua teman-teman saya dikelas.",2,2022-06-06 08:41:54
Willie,Entah kenapa abis update malah kamera depan ga bisa diaktifkan dan tiba tiba terjadi bug di aplikasi meet sampe saya ga bisa absen pas sesi on cam Bgst bener,1,2022-06-06 06:01:04
puryani,Sangat membantu 🙏🙏,5,2022-06-06 05:36:51
oto mobilbaru,okeoe,5,2022-06-06 00:16:11
Renhad Tm,Kektl,4,2022-06-05 14:13:26
ASAGI MUKTI NUR ANDHIKA,"Selalu pakai Aplikasi ini jika ada kelas. Baik fitur Video maupun Chat bisa digunakan dengan mudah semua. Bisa juga ""Bisukan"" maupun ""Keluarkan"" Saat jadi Penyelenggara, bagi ""Mereka"" yang Rewel. Awkwk. Nice!",5,2022-06-05 13:07:04
