userName,content,score,at
Jamal Jamaluddin S,Bagus,5,2022-08-09 11:07:10
Safrida Zega,Good,5,2022-08-09 10:43:05
Jaya atk,Siiip,4,2022-08-09 10:27:01
Ares Nugroho,Baguss,1,2022-08-09 10:22:10
Rina Nurhaliza,"ini kenapa ya ga bisa di install, saya udah berkali kali install tapi ga ke install udah 100% trs tiba² ngulang jadinya kan ngabisin kuota, nyedot byk kuotanya berkali kali ga bisa ke install, padahal sinyal baguss kuota adaa tapi ga bisa heran ini kenapa coba",2,2022-08-09 09:48:25
Andri Prasetyo,Pengalaman pengusaha,5,2022-08-09 09:44:27
qodli zaka fatahilah,Parah. Bru sja buat kq bsa email SMA password g singkron trus. Berulang kali verifikasi lewat email jga dengan sandi dan email yang sama. Berhasil trus tpi pas masuk zoom kq g singkron trus .👎,1,2022-08-09 09:21:30
Ms Yayat,Mantap,5,2022-08-09 08:53:54
Elan Jaelani S. Pd. I,kerenn,5,2022-08-09 08:30:30
Jenny Sabuin,Mantap,5,2022-08-09 08:24:25
MATA HARI,Luar Biasa ..Excellent,4,2022-08-09 06:44:26
Firman Syah,Aplikasi mudah dimengerti mantap,5,2022-08-09 06:36:07
Joo 1996,Aplikasi nya sangat membantu,5,2022-08-09 06:23:15
MichelleWijayaPlayz Roblox,Aplikasi 💩,1,2022-08-09 05:34:18
plowexz hipala,Good,5,2022-08-09 05:05:08
Dedek Arya,Ok,5,2022-08-09 05:04:30
Ardath Vivo,Mantap,5,2022-08-09 03:53:50
Aulia Fitri,Mauuuu,4,2022-08-09 03:22:20
Aliyah Kamila,Membantu banget sih tapi sayang nya cuma bisa 45 mnt zoom nya karena saya yang gartis,3,2022-08-09 02:28:57
Ketut Kardana,Good for help presentation,5,2022-08-09 02:23:13
Manga Ang,Aplikasi ini jelek banget bintang 1,1,2022-08-09 02:17:40
Rachmad Firdaus,"Saya kadang kalau lagi zoom meeting tiba tiba hilang suara, sy tidak tau apakah problem di zoom aplikasi atau hp saya, Terima kasih",4,2022-08-09 01:58:43
Ferie Wuisan,Mau coba yang ini selagi ada panggilan ikut webinar,5,2022-08-09 01:55:04
Fridolin Lopulalan,Puas,5,2022-08-09 01:44:20
Nurul Azmi saputri,"Mengapa tidak bisa diunduh, tolong dibantu segera",2,2022-08-09 01:40:18
NICO CHANNELJJ2,Aplikasi mantap,3,2022-08-09 01:36:26
Saleh Pagaralam,Baik,5,2022-08-09 01:29:19
Safwa Yunita,Mantap,5,2022-08-09 01:08:58
Solihud Z,Ok,5,2022-08-09 00:55:44
Shalsa Fdlh,"maaf min ini knpa yah ga bsa di download,, memo saya pun ga penuh",1,2022-08-09 00:52:49
eni purwani,Aplikasi yang sangat berguna untuk menunjang pekerjaan,5,2022-08-09 00:51:00
Sry fadliah.a,Maaf saya kasih bintang 1 soalx aplikasi nya tidak bisa di download,1,2022-08-09 00:24:33
Musniwati Kibas,Sangat bermanfaan,5,2022-08-09 00:05:52
Awosa Siii,Baik,5,2022-08-09 00:00:54
Indri Wahyuni,Baik sekali trimks,5,2022-08-08 23:01:47
Nur asia,Kenapa app tidak bsa terpasang di ponsel sya,3,2022-08-08 21:55:48
Rifka Wangsamiati,Mantabz,5,2022-08-08 21:52:24
Ansar Gunawan Ahmad,👍🏻,5,2022-08-08 17:39:40
Jae Lani,Bagus,5,2022-08-08 15:22:45
Basyar Arief,Top,5,2022-08-08 14:26:24
Agung Tri Muryanto,Mantap,5,2022-08-08 14:17:19
Nur Ani,Sangat bermanfaat,5,2022-08-08 14:07:59
Mar Bun,Manta💯💯,5,2022-08-08 14:00:47
agung jaya osm,Josss,5,2022-08-08 13:49:29
budi haryati,Selama mengikuti pertemuan dgn zoom tak pernah ada kendala apapun...,5,2022-08-08 13:22:56
"MITA,API Fahri",App ini bagus,4,2022-08-08 12:55:42
Dian Wa dian,"aplikasi nya sangat bagus ,nyaman di gunakan untuk meeting bersama..video dan audio nya sangat jernih",5,2022-08-08 12:38:12
Tessa Sarah,Bagus,5,2022-08-08 12:15:07
Dhea Pratiwy,Good,5,2022-08-08 12:11:07
Siti Sopiah,Bisnis saya menjadi lancar karena aplikasi zoom meeting ini,5,2022-08-08 12:06:13
Keziasusy Cahyani,Good aja dech,5,2022-08-08 12:05:44
MZ Channel muhammad Zaenudin,Ok,5,2022-08-08 12:03:52
Eko Andria,V20se snap dragon sudah 665 tapi mash gk support tolong di follow up,1,2022-08-08 12:03:04
Nurmah Husain,Zoom sangat membantu untuk rapat2 penting,5,2022-08-08 10:39:54
Erfin Nofanema Zebua,Aplikasi mantap,5,2022-08-08 09:04:41
Menoto Kalit,mantap,5,2022-08-08 08:33:56
Euis Agungsari,Bagus sangat membantu guru2 untuk selalu update,5,2022-08-08 08:10:02
Faizin reza,Good,5,2022-08-08 07:36:23
Mirza,Okeeeee,5,2022-08-08 07:29:41
Azizah Cakep,Mantap,5,2022-08-08 07:29:31
Arya Jos,Seeing ngeleg,1,2022-08-08 07:04:03
kael darato,Good,5,2022-08-08 05:37:38
Matra Ariana,sangat memuaskan,4,2022-08-08 05:21:55
Bole Huru,Sangat menolong dalam melakukan pekerjaan jarak jauh.,5,2022-08-08 05:16:51
Lukman hakim,Jelas dan tanpa gangguan,5,2022-08-08 05:08:42
Wiwid Warung Pancing,Bermanfaat.. Lancar blm ada kendala..,5,2022-08-08 04:06:51
yecky hosyo,BAGUS,3,2022-08-08 04:03:00
Ilyas Muhadji,Good,5,2022-08-08 03:51:20
Eka Kurniawan,Terbaiklah,5,2022-08-08 03:49:09
Tomi Riansyah,Bagus,5,2022-08-08 03:44:00
alldidha fidella,Ok,5,2022-08-08 02:44:06
Jubpri Sibuea,Excelent,5,2022-08-08 02:29:06
Arinda 21,Baik,5,2022-08-08 02:21:52
Agus Wundalero,Di kasi 3 dlu.,3,2022-08-08 02:03:10
yopi yopex,Nice,5,2022-08-08 01:54:54
Nopi Erik,Ok,5,2022-08-08 01:09:52
Adel Manek,Bisa membantu untuk kuliah secara daring,5,2022-08-07 22:30:21
Must Beben,Pokoke keren,5,2022-08-07 18:14:36
Bianca Pricilia,Zoom ini sangat bagus banget saya suka tapi di samsung semua pasti ada kan tapi kok disaya engga ada ya?,5,2022-08-07 14:43:17
Josh Dicha,Semoga bisa cepat di pahami dan makin ok.👍,5,2022-08-07 14:34:01
Erik Kurnia,👍,5,2022-08-07 14:07:58
Muhammad De Ponty,Good App👍,4,2022-08-07 14:03:54
ROHANA BIMA,terima kasih,5,2022-08-07 13:10:26
Intan Juhira,Tidak bisa pakai background,1,2022-08-07 13:09:27
Mutia Nadila,Download berulang² ters,2,2022-08-07 13:06:12
muhammad nuzul,Dicoba,4,2022-08-07 13:02:53
Sunarti Haloho,Aplikasi tuk baet oy,5,2022-08-07 12:48:10
Katharina kami Poka,Sangat membantu,5,2022-08-07 12:30:32
Insan Budiani,Kerren,5,2022-08-07 11:59:06
Koepoe Biroe,Semoga bisa zoom camera jauh pengen foto bulan,4,2022-08-07 11:47:40
Amin Dunhill,Aplikasinya bagus banget,5,2022-08-07 11:31:16
Novi Eliyansah,oke,5,2022-08-07 11:23:28
Usup Usup,Bkj,4,2022-08-07 10:55:16
April Man,"Buat masuk aja ribet bgt,lebih mudah google meet malah",1,2022-08-07 10:17:01
Joke Grazy,Ok,5,2022-08-07 10:07:19
Patar Sinaga,Akh,1,2022-08-07 09:36:12
Tyas Safitri,Terimakasih zoom sudah menemani saya belajar di ruang online tiap hari.. 😍,5,2022-08-07 09:22:33
Rakhma Sulistya,Oke but,4,2022-08-07 09:07:09
Abdul Rohim,Ok,5,2022-08-07 08:11:43
Devi Yarman,👍,5,2022-08-07 08:04:54
Narni Narni,👍,5,2022-08-07 07:26:52
Desnipa 05,Sangat luar biasa dan bermanfaat untuk meningkatkan komunikasi,5,2022-08-07 07:01:40
Romi Picisan,Alhamdulillah bermanfaat,5,2022-08-07 06:32:04
Agustinus Reko,❤️,5,2022-08-07 06:16:08
Syahroni Syah,Sangat bermanfaat ...,5,2022-08-07 05:49:49
Sofyan Yahya,"enak di pakai nya ,ke depanya mudah2an nambah irit kuotanya",5,2022-08-07 04:06:45
Hermansyah 82,Mantappp,5,2022-08-07 03:36:44
agung sgh,Good,5,2022-08-07 03:27:34
Aim Abidah,"Baru mau daftar salah diawal kepencet atur tgl lahir 2019 udah tidak bisa daftar lagi,",1,2022-08-07 02:31:05
Suhairi Muda,Alhamdulillah,5,2022-08-07 02:18:27
David Wahyu Tandya,Nice,5,2022-08-07 02:10:37
Windi Wulandari,kenapa hp Oppo A92 ngk bisa pake baground,1,2022-08-07 02:01:04
Asmaranda Farialdi Dano Pa,👍,5,2022-08-07 01:12:59
Bartolomius Barumbun,Mantap,4,2022-08-07 00:59:01
Wanda P,Good,5,2022-08-07 00:25:30
Sartomo Johanes,Sangat bsgus . Terima kasih 🙏👍,4,2022-08-07 00:02:28
Sri Rahayu,Top abs,5,2022-08-06 23:04:10
Hengki Prasandika,Sangat membantu,4,2022-08-06 23:02:14
Darmanto Darmanto,Ok banget deh,5,2022-08-06 22:51:18
Angga Reno,Ok,5,2022-08-06 19:33:01
Bilqis 123,Aplikasi yang sangat membantu bagi saya. Jadi tambah semangat buat menyelesai kan tugas.,5,2022-08-06 17:26:38
Muhammad Amin bin Ikhsan,Terimakasih,4,2022-08-06 15:13:32
Septian Tri Nugroho,Tolol,1,2022-08-06 14:06:53
Novaman Kadeline,Well,2,2022-08-06 13:15:57
abdul rozak,emang,1,2022-08-06 12:45:40
Choirin Nida,Sangat membantu,4,2022-08-06 12:10:48
Ronaldo Radja Hau,‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎‏‏‎ ‏‏‎,5,2022-08-06 11:44:01
Nurhidayat Syukur,Sangat bermanfaat dan memudahkan pertemuan virtual,5,2022-08-06 11:13:04
Yohanes suryo Prabowo,Gagal masuk karena harus auntentikasi,2,2022-08-06 09:22:45
Siaw Ing,Bagus dan luar biasa,5,2022-08-06 08:26:52
Ella April Leoni,Tolong tambahkan virtual backgroundnya untuk HP android apa saja,4,2022-08-06 07:53:23
Naga Bekhibgsang,Gak bisa di dowlod Klo udh di donlot malah gak bisa instal,2,2022-08-06 05:59:53
Wawan Kurniawan,Terima kasih,5,2022-08-06 05:32:08
Bernadette Heriany Hutani,Sangat diberkati,5,2022-08-06 05:24:53
Meikharis Daeli,Mantap dan keren,5,2022-08-06 04:38:23
Regina Cantik,Keren,5,2022-08-06 03:41:08
Sacha Inchi,Terbaik,5,2022-08-06 03:39:13
Irawani Ira,Bagus,2,2022-08-06 03:38:51
santoso tos,"Gambar bagus, audionya ada sedikit krg koordinasi, tdk dpt berhubungan dg camera yg sdg on video tdk ada audionya. Karena sdh mute.",4,2022-08-06 03:18:39
Putri Jauhari,Dengan,5,2022-08-06 03:15:18
Handy Putra Violin,Setelah di update...pake bahasa indonesia dan copy link koq ga bisa ya ...??,2,2022-08-06 03:06:40
I Ketut Widiana,Sangat membantu kami info jdi lebih cepat trimakasi,5,2022-08-06 02:46:34
Neli 9090,Okelah buat meeting,5,2022-08-06 02:06:48
Depia Lesti,Bagus banget .........,5,2022-08-06 01:59:33
Achmad Muazir,please update the virtual background because there are still many smartphones that do not support it.,4,2022-08-06 01:51:37
TelurDadar Gord,Jelek,1,2022-08-06 01:42:19
Rezky febrian nugraha 8B,Rindu jaman corona,5,2022-08-06 01:20:01
Farhati nailil Husna,Sangat membantu sekali,5,2022-08-06 01:12:42
Sinho Budianto,Sangat inovatif,5,2022-08-06 00:40:58
eden gunawan,ok lah bagus,5,2022-08-06 00:27:34
Nana Tamonob,The Best,5,2022-08-06 00:26:04
Stefanus Potebulu,Terimakasih zoom kami sebagai driver bisa kopdar online,5,2022-08-06 00:18:28
Aga L,Dibuat lebih simpe lagi pada saat login,5,2022-08-05 23:54:25
Josua Kelvin,Sangat bagus,5,2022-08-05 23:47:01
Togi Sitompul,Bagus dan sangat membantu.,5,2022-08-05 23:23:44
Agus Sofyan,Good,5,2022-08-05 21:12:20
Yen Md,Kaonak,5,2022-08-05 15:56:57
Mochammad Arif,Aktifkan komunikasi,5,2022-08-05 15:48:07
Putri liza jaya,Good,5,2022-08-05 15:22:11
Winny Ariesyana,Bisa menjadi panduan untuk semua orang yg bisa berbagi pengalaman luas dengan aplikasi ini good everything,4,2022-08-05 15:22:07
Aldin Farhanda,Susah mau bikin akun,1,2022-08-05 15:20:34
Milkatul Jannah,Josss serrr,5,2022-08-05 14:54:23
Elsa Putri,Knpa ga bisa didownload,1,2022-08-05 13:33:37
Ujang Supriatna,Nice,5,2022-08-05 13:32:54
Andi Aprillah,Tidak bisa terdonlod,5,2022-08-05 13:12:47
Dewi Cahya,🙏Kenapa ya zoom gak bisa di pergunakan. Udh loging berulang ttp saja tidak bisa pdahal anak butuh bgt buat zoom miting dr sekolah.. Tolong ya di perbaiki,2,2022-08-05 12:54:26
adang sobandi,Puas,5,2022-08-05 12:37:58
Judith Anita,Good,5,2022-08-05 12:33:14
Yuli Prasetyaningsih,Sangat baik,5,2022-08-05 11:00:28
Hartok Wigeno,Ok,5,2022-08-05 10:31:49
Arjuna Store,Aplikasi ini sangat membantu saya dalam belajar online. Terus tingkatkan kualitas dan kuantitas semoga allah memberkahi,5,2022-08-05 10:16:09
Sri Sukasmi,Menyenangkan,5,2022-08-05 09:40:39
Cecep SM,Ok banget,5,2022-08-05 07:53:56
Lina Octaviana,Sangat membantu meeting jarak jauh,5,2022-08-05 07:23:48
Pramudia Aji,"4 bintang dulu, kalo good baru tambah bintang lagi",4,2022-08-05 06:44:51
Syafiratu Irmanelly,"ini kok g bs di instal, pdhl memo ga penuh. tlng ya",2,2022-08-05 06:43:14
Komang Suyasa,Good,5,2022-08-05 06:31:22
Dani Ramdan,Mantap,5,2022-08-05 06:04:57
kruger online,Good,5,2022-08-05 06:01:19
Deddy Hidayat Yusuf,Mantap...memudahkan kerja online,5,2022-08-05 04:03:25
temujine elfa maria,Good,5,2022-08-05 03:30:09
Elya Bae,Sangat membantu dalam proses pembelajaran,5,2022-08-05 02:54:10
Edi Sutrisno,Belum bisa instal,4,2022-08-05 02:51:25
Nurul Hidayati,Saya sudah download kenapa kembali lagi tidak bisa,1,2022-08-05 02:45:12
Dermawan HSM,Good apps,4,2022-08-05 02:43:50
Kezia Margareth,ini knp googleny suka nanyain pasang pin? Padahal ak udh pasang pin,1,2022-08-05 02:13:54
Saiful B,Cakep,5,2022-08-05 02:11:48
Sin Sincara,Sangat membantu,5,2022-08-05 01:13:42
mso secom,Oke bagus sekali,5,2022-08-05 01:06:11
Iwan Sadia,Blm coba,3,2022-08-05 01:06:02
TTSHidajat Djati Taufieq,Bagus,5,2022-08-04 23:02:10
Muh Rafli Rasyid,Manta,5,2022-08-04 22:06:31
Albert Slamet,"Zoom, OK bngat.",5,2022-08-04 21:44:36
nur hayati,Sangat mudah dan menambah pengetahuan,5,2022-08-04 21:03:22
Danu Asmoro,Kuota gw cepet habis pdhal cuma 2x pertemuan saja,1,2022-08-04 18:22:52
Tedi Sucipto,Nice,5,2022-08-04 17:30:59
Indrawati 313,Mantap jiwa,5,2022-08-04 14:30:22
Ce Sing Meili,Kebaktian jadi lebih lancar sejak memakai aplikasi ini... Terimakasih Tuhan Yesus,5,2022-08-04 12:37:28
Yeni Schaduw,Good,5,2022-08-04 12:08:30
Mr. RAR bro,I like,5,2022-08-04 11:17:50
dio firmansyah,zoom good,5,2022-08-04 10:24:46
"Hendriawan se,msi",Sangat membantu dlm proses pembelajaran...,5,2022-08-04 10:04:40
Angelia Vanesa,Aplikasi nya bagus banget 😀😃😄😁😆😂🤣😉😗😙😚😘🥰😍🤩🥳🙂😋😊☺️🤗😎👍,5,2022-08-04 09:25:26
Anas Alihi,Saran saja kalau bisa tidak ada pembatasan masuk dalam zoom berhubungan maksimal 100 orang masuk kalau bisa tidak ada pembatasan seperti begitu. Dan durasi waktunya hanya 40 menit kalau bisa waktu tidak menentu sampai berapa tergantung dari host kasih mati zoom miting.. Mohon maaf hanya sekedar saran,4,2022-08-04 09:06:43
Annisa FSRH,tidak bisa didownload bermasalah terus,1,2022-08-04 08:44:00
ryio robeye,Sangat membantu,5,2022-08-04 08:14:48
tito warsito,Mudah diaplikasikan,5,2022-08-04 07:49:40
Wahyu Hidayat,Mantap,5,2022-08-04 07:48:09
edi qausar,Nice,5,2022-08-04 07:06:57
Evan Tri,Naice,5,2022-08-04 07:02:58
BAGUS SATRIYO Vidio,Bagus dan stabil,5,2022-08-04 06:31:45
batake takwan,B-,1,2022-08-04 06:21:00
Ilmiyah Ilmiyah,Wes rasa kepingin juga memasukan SSD no e eeeearrrt ini mbak dan bzxx dan to download,5,2022-08-04 06:11:31
Aris Man,Sangat bagus sxxxxx,5,2022-08-04 05:59:37
Udur Sianturu,Udur sianturi,5,2022-08-04 04:13:11
ewit setiawan,Sangat bagus,5,2022-08-04 04:01:41
Eko Itnawanto,Sangat membantu dalam menjalin hubungan sosial,5,2022-08-04 04:00:39
Erna Paliwan,Baik,5,2022-08-04 03:48:22
Eko Johny,Ok,4,2022-08-04 03:32:36
Fajaral Kurniadi,"Baru pertama, belum ada pengalaman",5,2022-08-04 03:13:13
Reka Harinal,Keren,5,2022-08-04 02:45:04
Legi fajar muslimin,Kontol lag asw,1,2022-08-04 02:41:46
Hayati Nurlaela,"Bbaik saat digunaksn. bermanfaat ,",4,2022-08-04 02:15:20
Ahmad Barir Mahdi Farihi AF,"Buruk sekali, saya ketika ingin masuk rapat selalu keluar rapat dan aplikasinya makan kuota, masa 1 kali meeting 1 jam makan 3GB",1,2022-08-04 02:07:54
Fitri Diana,Bagus sekali,5,2022-08-04 02:03:42
Kevin Immanuel,Mantap,5,2022-08-04 01:51:54
Hendra Saputra,Nice,5,2022-08-04 01:38:45
Ika Dharma,Zoom,5,2022-08-04 01:12:31
Daffa Abdil Ghani Muzhafir,Apk zoom ini sangat bermanfaat selagi covid 19:),5,2022-08-04 00:57:40
Sindi Nuraeni,Aplikasi yang sangat membantu,5,2022-08-04 00:46:14
Dharma owen,Apkilsi Ini Bahaya Loh,5,2022-08-04 00:36:11
"Kra. Gatot Sudibyo,SH",Memudahkan untuk berkomunikasi secara bersama 2,5,2022-08-03 23:34:45
amelia amel,Ok,4,2022-08-03 23:06:09
faisal yakusa,Good,5,2022-08-03 19:11:05
Latifah Rosadi,"sudah di un instal tetapi aplikasi msh ada, gmna cara membersihkan nya?",1,2022-08-03 19:05:29
Abdullah Ibrahim,Bagus,5,2022-08-03 17:09:54
Jeri Melawi,Sangat membantu,5,2022-08-03 16:51:29
Sriyanto Yanto,Ok,5,2022-08-03 16:50:42
Edy Lukmansyah,Ok,5,2022-08-03 15:28:00
Besli Str,Mantap,5,2022-08-03 15:05:21
Rubakyah Bekrub,Baik sekali,5,2022-08-03 14:53:53
Budi Mulyadi,Ok,5,2022-08-03 14:19:47
Jeremmy Tomi,Bagus,5,2022-08-03 13:47:39
edis zalukhu,Mantap,5,2022-08-03 13:46:13
teuku luthan,Ingin income besar hubungin telegram @Brilliant354 ..saat ini komunitas terbesar di dalam naungannya tky🙏🙏,5,2022-08-03 13:26:25
Suci Romadhotul Arifah,Terlalu ribet cok,1,2022-08-03 13:07:16
Albert G Tuuk,Bagus No debat,5,2022-08-03 12:33:11
Yusak Runesi,Excellent,5,2022-08-03 12:17:17
Madi JT Sitanggang,Good,5,2022-08-03 11:51:01
Panji Kartolo,selama meeting saya tidak bisa menemukan fitur background seperti teman2 yg lain,1,2022-08-03 11:45:54
ijam dugem91,Mntul,5,2022-08-03 11:08:08
Boby Watung,Bagus bangettt,5,2022-08-03 10:35:04
Mhey Angel,"Terlalu banyak update , bikin habis kuota aja",1,2022-08-03 10:09:07
Miftah Fajrisal,Ok,5,2022-08-03 09:49:48
Mohammad Suhanda,Mantap...,5,2022-08-03 09:00:22
Christy Rizki Nurrohmawati,Aplikasi zoom di hp saya tidak dapat merubah background meeting.. mohon bantuannya.. saya memakai hp oppo reno 7 5g dengan sistem android 12,3,2022-08-03 08:47:12
Marshell Ibouda,Saya menyukai,4,2022-08-03 08:38:23
Realita Jaya Sakti,Mantab sekali,5,2022-08-03 08:08:46
Raja Glinting,Mantap suara dan gambar jelas,5,2022-08-03 07:53:02
asmah abdullah,Luar biasa,5,2022-08-03 07:37:37
Ruslan Bangun,Mantap,5,2022-08-03 07:12:25
Ahmad Falahudin,Bagus sangat membantu dalam program kelas jarak jauh,5,2022-08-03 07:06:37
Heny Kusuma,Bagus,4,2022-08-03 06:58:58
Maryuti Yuti,gud,5,2022-08-03 06:55:15
Teguh Imanudin,Ok,5,2022-08-03 06:48:04
29. Putu Elvira Chalista,bagus,1,2022-08-03 06:33:57
Ratna Wilis,Sangat baik,5,2022-08-03 06:33:05
syamsuddin syam,Mantap,5,2022-08-03 06:15:07
Andi Iksan,Bagus,5,2022-08-03 06:12:29
Zidane_ 1220,Verry Good,5,2022-08-03 05:48:09
wahid Boid,_x,2,2022-08-03 05:37:14
Hendrik Penyetinyong,Mantap sukses,5,2022-08-03 05:12:49
Memet Arifin,Sangat bermanfaat,5,2022-08-03 05:03:01
Wawan Setiawan,Ok,5,2022-08-03 04:45:06
firdaus baderi,Suara jernih,5,2022-08-03 04:29:51
Heri Purwoko Purwoko,Sangat Baik,5,2022-08-03 04:23:39
Lokop Pinding,Baik,5,2022-08-03 03:58:31
Aji Ibrahim,Terima kasih ya.zoom mantap.,5,2022-08-03 03:42:22
f2fadilla 24,Jelek bgt aplikasi ya,2,2022-08-03 03:30:28
slamet puguh,Membantu,5,2022-08-03 02:49:09
fiitri hidayati,Bagus,5,2022-08-03 02:34:11
Haykal,g guna,1,2022-08-03 00:10:04
Wong Bei ling Linda,"Bagus, terus bagus",4,2022-08-02 23:01:44
muhammad rafi iriawan,Good,5,2022-08-02 22:48:49
Lidya Bun,Mantap,5,2022-08-02 22:47:37
Murly Rahma,oke,5,2022-08-02 17:27:09
Muhammad Kholik,Bagaimana cara setting background di aplikasi zoom di hp tanpa lewat browser dan PC? Mohon penjelasannya 🙏,5,2022-08-02 15:58:15
Monita Lantang,Di apk zoom saya tidak ad background padahal saya sudah update terbaru,2,2022-08-02 15:11:47
Yati Nurhayati,Saya sangat terbantu sekali .bisa belajar bicara sama teman,5,2022-08-02 14:52:40
Lin Du Nils,okeeee,5,2022-08-02 14:20:47
Endang Mulyadin,Ok,5,2022-08-02 14:00:13
Eko Wahyudi,Mantap👍,5,2022-08-02 13:43:50
Hasnawati,Kenapa gk bisa di download ya,1,2022-08-02 13:29:24
Ester Monica Sinaga,Mantappp bagusssssss,4,2022-08-02 11:58:39
Ricky Tafuama,Mantap,5,2022-08-02 11:38:08
Viral Dunia,👍,4,2022-08-02 11:29:43
muh akbar arisandi,aplikasi nya bagus banget ndk nyesel aku dowload nya,5,2022-08-02 11:24:55
Jefferson,Zoom nya gak bisa dipake sudah di update tapi masih error rusak ini aplikasi,5,2022-08-02 10:56:40
herawati dato,OK!,5,2022-08-02 10:52:17
M.saleh Juni,Good,5,2022-08-02 10:05:33
Aurel & Adel,mohn dibantu agar virtual background bisa digunakan di Huawei matepad.. terimakasih,5,2022-08-02 09:06:29
Andi Siswono,Mantap,5,2022-08-02 08:37:21
Muhammad Iqbal,bagus cuma agak berat,5,2022-08-02 07:35:38
I Putu Nada,Very good,5,2022-08-02 06:39:42
Hnp Hnpi,Gak bisa di pasang aplikasi my mengecewakan udh install beberapa kali tetap sama,2,2022-08-02 06:38:32
muji harjono,Ok,5,2022-08-02 05:55:31
Pala Retna Aidila Fitra,Knp gak bisa ganti background sedih sekaliii lahhhh,4,2022-08-02 05:45:56
Jeanie Ailanna,Oke,5,2022-08-02 05:00:53
Arnol J. Manurung,Mensukseskan pembangunan,5,2022-08-02 04:09:57
pupun,Sangat membantu sekali saat,5,2022-08-02 03:55:03
Zul Fikar,Luar biasa,5,2022-08-02 03:53:27
Raymond Christian,Mantap,5,2022-08-02 03:33:06
ABU BAKAR,Oke,5,2022-08-02 03:16:40
AnugrahFadly KreatoSeniman,yabg susah itu pas menampilkan back ground,5,2022-08-02 03:08:11
Margaretha Singarimbun,A good App,5,2022-08-02 02:42:16
Nimal 369,Seumur umur ketemu aplikasi kalau reset pasword aneh,1,2022-08-02 02:24:02
Exel marsello marsello,Gbisa di download,1,2022-08-02 02:23:27
Muky Wibowo,Josss,5,2022-08-02 01:35:16
Nur Siyati,Sangat bermanfaat dan sangatlah membantu,5,2022-08-02 01:26:25
Zhafi Ahmad soud alhawariy,Kok g bisa login sama join tanpa login,3,2022-08-02 01:22:35
msp area4,Good,5,2022-08-02 01:08:01
