userName;content;score;at;Nilai
Mhmad Alfan 23;Waw butut sekali;5;2021-07-17 11:41:33;POSITIF
Qurotu Rizah;Bagus sekali;5;2021-07-17 11:40:39;POSITIF
Saharuddin P;Aplikasix bagus banget;5;2021-07-17 11:38:00;POSITIF
Si Smoko;??;5;2021-07-17 11:35:01;POSITIF
muhamad bilal ramadan;jngan ada iklan;3;2021-07-17 11:34:35;NEGATIF
Bahrum Syah;Mantab;3;2021-07-17 11:34:29;NEGATIF
siti maharagtg16;Bagys;5;2021-07-17 11:32:42;POSITIF
Hhh hhh;Apk ini sangat.................................................................................................................................,...........,...........,.....,...........,.................................................................................................................................................................... . .................................................................. Membingungkan bikin pusing Cara daftarnya. Aduh;5;2021-07-17 11:23:23;POSITIF
BenayaRichie;Aplikasinya jelek disuruh belajar terus ama ibu guru;1;2021-07-17 11:17:38;NEGATIF
Noni Nugrahaty09;Baik;5;2021-07-17 11:15:21;POSITIF
Keisya Al Fathir;Jelek banget;1;2021-07-17 11:02:39;NEGATIF
Nazifa Septiani;apk ini sangat membantu tapi susah dimengerti;3;2021-07-17 10:58:28;NEGATIF
alifia putri;??;5;2021-07-17 10:53:09;POSITIF
Raya Robbani 5A;"harus install gara"" guru ´?????`";5;2021-07-17 10:40:49;POSITIF
naila azizah;Bagus banget ????;5;2021-07-17 10:37:31;POSITIF
Nayla Aulia;Sy tdk bs mmki background dsr;3;2021-07-17 10:28:24;NEGATIF
Rahal Afdal Siswandar;Sangat bagus untuk saya yang masi belajar online!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!¡!!!!!!!!!!!!!¡;5;2021-07-17 10:28:05;POSITIF
Rafa Kesimpar;Kok apk ny gk bsa di buka ya? Tolong di perbaiki;2;2021-07-17 10:25:54;NEGATIF
daya rachmadi;Wuhh edann;5;2021-07-17 10:23:22;POSITIF
Sabrina Maulida;Setiap sigh up selalu ada tulisan tidak layak terua udh login ulang email tanggal lahir segala tetep ga bisa. Liat tutor yt tetep gabisa. Kenapa aku gabisa sigh up? Tulisan nya tidak layak terus. Malah pusing sendiri;1;2021-07-17 10:04:55;NEGATIF
satria gameplay;Ada bug gara gara zoom saya banyak tugas dari sekolah perbaiki bug itu;1;2021-07-17 10:01:39;NEGATIF
Muhammad Raihan;Sangat bermanfaat untuk meeting online;5;2021-07-17 09:56:11;POSITIF
nur rizqi wisata indonesia;Ok;5;2021-07-17 09:36:56;POSITIF
Cokbundidin Coy;Maknyoooss;5;2021-07-17 09:31:23;POSITIF
Herry Siswanto;Sangat membantu dalam komunikasi bisnis dan publik;4;2021-07-17 09:13:45;POSITIF
magic tutorial indonesia;Bagusss sangat bagusssss;5;2021-07-17 09:10:53;POSITIF
Eni Zaenifah;Bagus banget apl nya buat kita meeting;5;2021-07-17 09:09:37;POSITIF
Felicia Novanda;Bagus banget ?? buat jangan lupa di download ya ??;5;2021-07-17 09:08:11;POSITIF
Alfredo Araujo;kerennnnnnnnnnnn wuhhhhhh asikklll;5;2021-07-17 09:05:23;POSITIF
Raka Saputra;"Gara"" apk ini saya dapat tugas banyak dari sekolahan terimakasih ??";1;2021-07-17 09:01:28;NEGATIF
Yayat Hidayat;Mantap,,,;5;2021-07-17 08:55:21;POSITIF
Greison Cawaris Greison cawaris;Sangat bagus sekali!!!!!!!!!!!!!!!!!!!!!!!!!!;5;2021-07-17 08:50:15;POSITIF
Clara Ecclesia;??;5;2021-07-17 08:33:59;POSITIF
Rian Cantik;bntng 1 dlu;1;2021-07-17 08:21:55;NEGATIF
Nanda Amelia;Mengapa saya tidak bisa mendownload walaupun sudah pakai jaringa internet yang bagus;1;2021-07-17 08:07:41;NEGATIF
DA'WATUNA. Masduqi;Okeee;5;2021-07-17 08:07:08;POSITIF
Rafi Ramadhan;Apk bagus;5;2021-07-17 07:56:03;POSITIF
ALGIFAHRY PUTRA RAMADHAN Fahry;Aplikasi ini b aja;5;2021-07-17 07:55:00;POSITIF
Mukhamad Kholik;Terimakasih sangat membantu????;5;2021-07-17 07:53:20;POSITIF
sabil sofi Zaman;Kenap download nya lama dan kadang kadang force close;1;2021-07-17 07:53:13;NEGATIF
Amanda reza oktavia;Memudahkan kita untuk sekolah;5;2021-07-17 07:28:00;POSITIF
KING SKELETHOR;Aplikasi yang bikin ke percayaaan diri gua ilang ??;1;2021-07-17 07:22:29;NEGATIF
Romaida Simbolon;Gak bisa didwonlad aplikasi zoom;5;2021-07-17 07:19:02;POSITIF
Irmanda Jazkia;tolong dong saya gabisa instal dri kemarin knp ya karna penting bngt saya dipake untuk sekola;5;2021-07-17 07:16:44;POSITIF
Abdul Jabar;bagus banget;2;2021-07-17 07:10:08;NEGATIF
Zul Kifli;Kadang gak bisa masuk ke linknya;4;2021-07-17 07:01:22;POSITIF
YBSYID;udah Download malah gagal;2;2021-07-17 06:52:15;NEGATIF
Siti Rahma;Sangat berguna;5;2021-07-17 06:48:16;POSITIF
Nazal Hoshinova Ackerman;Halah bawok;1;2021-07-17 06:35:15;NEGATIF
Cantika Aprilia;Nelpon;1;2021-07-17 06:34:45;NEGATIF
lolipop channel;Jlk!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!tapi boonggg bagus kokkkkk;5;2021-07-17 06:23:46;POSITIF
Frilia Lumbantoruan;Mohon banget aplikasinya diperbaiki, masa saya login malah keluar terus. Kadang juga susah bener nyalain suara. Suka eror. Apalagi di background ga bisa di semua android. Mohon diperbaiki semuanya!!;1;2021-07-17 06:15:27;NEGATIF
Sumpena Sumpena;Baik sekali;5;2021-07-17 06:14:12;POSITIF
GUNAWAN W;Mantab;5;2021-07-17 06:13:38;POSITIF
Muhammad Nuriyadi;Bagus banget nih apk nya sumpah........................................................................................................ ................................................................. ................................................................. ..........................................................................................................................................................................................tapi boong. Apknya boros Kouta ajg;5;2021-07-17 06:09:53;POSITIF
ferry soehardja;Mengapa sy ga bs buka Zoom ? Sy ga ada Wifi? Sy lansia mau ada acara Zoom Meeting sesama lansia tp gmn sy ga bs buka neh ..?;3;2021-07-17 06:00:20;NEGATIF
Ira Mariah Suciaty;Keren;5;2021-07-17 05:53:36;POSITIF
Toni Xiton Channel;Mantap;5;2021-07-17 05:44:43;POSITIF
Qorryatum Musyafaroh;Seru;5;2021-07-17 05:44:20;POSITIF
Nabilla rizki Amelia;Ko saya mau daftar ga bisa²;2;2021-07-17 05:40:20;NEGATIF
Josua karongkong;Zoom ini bagus sekali saat belajar daring atau pun ibadah online;5;2021-07-17 05:38:21;POSITIF
Syifa Rahmawati;kenapa ya saya gak bisa masuk pake gmail juga tidak bisa tolong di perbaiki;1;2021-07-17 05:37:57;NEGATIF
Stephen michael Tanujaya;Useful;5;2021-07-17 05:20:23;POSITIF
Romi buah Buah;Gak bagus mendingan belajar disekolah;1;2021-07-17 05:13:00;NEGATIF
Sahla Azzahra X_OTKP_1;Kok ini gakbisa log-in mulu padahal udah mau mulai NII,kemaren jg sampe ketinggalan karena gak bisa log-in??;1;2021-07-17 05:06:09;NEGATIF
cute Boboiboy galaxy;Yaampun!!!!!!! Gede banget sumpah ????;5;2021-07-17 05:06:06;POSITIF
Wifda Mazya;Saat mendownload aplikasi ini saya sangat kesusahan dan bingung kenapa nggak bisa2 gitu dan sampai sekarang belum bisa juga;5;2021-07-17 05:01:31;POSITIF
Imam Ag;Ok;3;2021-07-17 04:55:43;NEGATIF
Dewi Sekar;Kenapa ya kamera zoom kalo di hp saya itu nggak miror tp di hp orang lain terlihat miror jd wajahnya aneh kalo nggak simetris. Tolong dong solusinya;1;2021-07-17 04:55:33;NEGATIF
Diky Lukito;Daftar aja dipersulit;1;2021-07-17 04:47:32;NEGATIF
Jajang Somantri;Ini gimana cara ganti bahasa nya;1;2021-07-17 04:37:39;NEGATIF
Lydia salma and friend;Apknya membantu banget apa lagi pas covid kaya gini pokoknya bagus deh harus download;5;2021-07-17 04:32:44;POSITIF
Iskandar alfaris;Mantappp;5;2021-07-17 04:30:50;POSITIF
Idah Paridah;Ikut aplikasi ini;5;2021-07-17 04:25:01;POSITIF
DIKA MEME;Burik;1;2021-07-17 04:00:08;NEGATIF
Putri Dinda Wijayanti;Andaikan di smartphone bisa pakai bacground kamera juga kayak di pc;5;2021-07-17 03:59:33;POSITIF
Rimba Selat Malaka Lugay;Aplikasi ini baik,sangat membantu pekerjaan saya;5;2021-07-17 03:58:36;POSITIF
King Music;Manpat;5;2021-07-17 03:55:32;POSITIF
Jonni Manalu;Bacot Lo Babi ?? tapi booong aplikasi nya mantap gan ,apa liat ke bawah dah aplikasi nya bagus bangat sumpahhhhhhh pokoknya bagus sekali;5;2021-07-17 03:52:14;POSITIF
song taqim;Oke;5;2021-07-17 03:48:37;POSITIF
Rahma assyfa;Hebat deh;5;2021-07-17 03:47:38;POSITIF
Sifa Givari;Ter bagussssssss;5;2021-07-17 03:42:40;POSITIF
Khoiratus Syifa;Gak bisa daftar;1;2021-07-17 03:33:37;NEGATIF
Eva Siregar;Background nya gk bsa dgantii. IP aja baru bsa ??;2;2021-07-17 03:30:48;NEGATIF
Samsung Indonesia;Siap;5;2021-07-17 03:29:59;POSITIF
Arni Ramadhani;Bgs;5;2021-07-17 03:23:29;POSITIF
DinO ExZ;Hai apk meeting zoom saya nggak senang karena apk ini tidak bagus, tidak bagusnya knp, kalau ada tugas nggak usah di kerjakan malas capek, yg guru² Tolong ya diperhatikan murid² saya sebagai murid² capek bodoh;1;2021-07-17 03:22:41;NEGATIF
RESSA GANS;??;5;2021-07-17 03:21:25;POSITIF
Nur minsah Nasution;Aplikasi yang sangat membantu, trimakasih????;5;2021-07-17 03:20:20;POSITIF
Nella Erminda;Gua habis paket udah 100% tapi ga terdownload;1;2021-07-17 03:19:58;NEGATIF
ClaraSartika Battong;Mantap;5;2021-07-17 03:18:59;POSITIF
Jepsy Gomies;Bagus membantu;5;2021-07-17 03:16:57;POSITIF
Nur Hasanah;Good;5;2021-07-17 03:08:42;POSITIF
Hadi Susanto;Baik;1;2021-07-17 03:08:42;NEGATIF
Santias Fitri;kok hp sy mah gd virtual background nya ya?;4;2021-07-17 03:06:36;POSITIF
Dwija Rabadi;Ke depannya yang sore ini aku akan pergi dari tempat yang paling penting dari sebuah rumah di beri aku waktu bisa berubah warna dan ukuran yg mau di add ya ya ya pak gpp mudah2an yg bisa bantu Do'a tsb dan keluarga selalu ada dalam masyarakat modern di bawah ini untuk mendapatkan produk lebih di kenal sebagai di Indonesia dan keluarga serta dalam pembangunan bangsa di masa lalu dan DTA angkatan laut as well saya bawa kendaraan yang melintas dari kemarin jam dan keluarga selalu ada untuk mengisi;5;2021-07-17 03:04:04;POSITIF
Ayub trk;Luar biasa aplikasinya;5;2021-07-17 03:03:05;POSITIF
anik riningsih;Buuuurik, soale ndoltute suwe wes kadong kedok zoom me;1;2021-07-17 03:03:04;NEGATIF
meli mawarni gea;Kok gak bisa di download sih padahal kasi bintang 5;5;2021-07-17 03:02:17;POSITIF
?SachiOfficial14?;Bagus Udh itu sj;5;2021-07-17 02:53:16;POSITIF
Immanuel Pyu;Sangat membantu sekali... sayangnya blm bisa support d smua HP Android untuk mengganti tampilan virtual backgroundnya;5;2021-07-17 02:42:46;POSITIF
Lailin Setiawan;??;5;2021-07-17 02:41:10;POSITIF
Ibrahim Zein;Ammin;1;2021-07-17 02:38:56;NEGATIF
Febri Kotu;Bagus aplikasinya bisa digunakan di semua merk handphone ??????;3;2021-07-17 02:36:56;NEGATIF
Fairy Ezradhuha;Mantap;5;2021-07-17 02:30:48;POSITIF
Fiqih Nur;Sy mncoba . ....;5;2021-07-17 02:30:04;POSITIF
Tripa pasaribu;Bagus banget buat berbincang dgn oranglain dimasa pandemi saat ini, rasa rindu terobati....salam sehat selalu...;4;2021-07-17 02:29:38;POSITIF
Zulkarnain Nain;Bagus....;5;2021-07-17 02:26:35;POSITIF
mokh arifin;Sangat membantu;5;2021-07-17 02:26:28;POSITIF
Simson Bukorsyom;Trimakasih udh bantu kami dalam masa Pembelajaran;5;2021-07-17 02:24:30;POSITIF
Rafi Akbar;Kakui;5;2021-07-17 02:21:26;POSITIF
YogieAgra;ok;5;2021-07-17 02:19:25;POSITIF
MUHAMMAD FIRLI;Cara ganti namanya gimana begooo;2;2021-07-17 02:17:39;NEGATIF
Ajen Tanumihardja;Bagus;5;2021-07-17 02:17:27;POSITIF
P.5_Wishnu Hafiz Prayoga;Login doang susah banget asli;2;2021-07-17 02:17:17;NEGATIF
FF_ Gaming;Untuk pihak zoom tolong di kasih tab virtual background karena saya sngt membutuhkan untuk zoom sekolah,habistu hp saya ini tidak mendukung...;2;2021-07-17 02:11:07;NEGATIF
Antonius Margono;Bikin emosi??????;1;2021-07-17 02:08:52;NEGATIF
Meyta Safitri;Good;5;2021-07-17 02:08:50;POSITIF
Ajat Sudrajat;TOP BGT;5;2021-07-17 02:05:29;POSITIF
Faiz Gaming;Bagus;5;2021-07-17 02:01:25;POSITIF
Agnes Murni;Sangat membantu aktivitas saya setiap memerlukan. Aplikasi ini;5;2021-07-17 01:56:59;POSITIF
Non limahelu Non limahelu;Sangat membantu;1;2021-07-17 01:55:44;NEGATIF
Andriani Andriani;Sangat bangus untuk belajar online;5;2021-07-17 01:52:41;POSITIF
Rosalina Lede;Jelek;3;2021-07-17 01:51:42;NEGATIF
Gabrela tandi;Sangat membantuku;5;2021-07-17 01:50:29;POSITIF
AGERA679GAMING AGERA;Zoom why lagi meeting malah keluar sendiri tolong di fix soalnya saya lagi sekolah tiba tiba keluar sendiri gada alasanya cuman keluar terus ada tulisan connecting please;2;2021-07-17 01:49:32;NEGATIF
Sinaga Sinaga;Terima kasih;4;2021-07-17 01:48:32;POSITIF
Imam Alifandra;Anjay mabar;1;2021-07-17 01:39:37;NEGATIF
Deffannisa;Nice;4;2021-07-17 01:35:01;POSITIF
Aiko fukayana;Bgs;5;2021-07-17 01:28:10;POSITIF
Safar Udin;Membantu lah buat belajar;1;2021-07-17 01:26:58;NEGATIF
Wagiman 123;Kok lama ya tapi GPP ttp bagus kok!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Ngapain liat ke bawah dh di bilang bagus;5;2021-07-17 01:22:16;POSITIF
Lhyan Rumbino;Top;5;2021-07-17 01:19:33;POSITIF
Fe Ry;Bagus;5;2021-07-17 01:19:24;POSITIF
WD. Prabowo;Sangat membantu silaturahmi virtual...tks Salam;5;2021-07-17 01:17:46;POSITIF
Tini 10;Ap nya bagus banget !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;5;2021-07-17 01:15:27;POSITIF
Rahman Ntd;Mantap;5;2021-07-17 01:15:21;POSITIF
Tanisha firial hasti;Gak bisa di download, kenapa ya?;1;2021-07-17 01:14:51;NEGATIF
Siti Maimunah;Good;5;2021-07-17 01:10:55;POSITIF
Rian Fajar;Wowwww bagus bangettt??????????????????????????????????????????????????????????????!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!. Tunggu apa lg cepetan download Woi!????!??????????????????????????????!!!!!!!!!!!!!!!!!!!!!????;5;2021-07-17 01:10:50;POSITIF
Jermy Bello;Kreen;5;2021-07-17 01:08:55;POSITIF
Muhammad Yahya Umar Syurofa;Sangat membantu... Bagus..;5;2021-07-17 01:07:02;POSITIF
TAUFIK CHEMISTRYADHA WIJAYA;Mantep banget & Recommended;5;2021-07-17 01:03:48;POSITIF
Ririn Ramadhani;Sangat membantu;5;2021-07-17 01:02:49;POSITIF
ayyas hikam;Bagus;5;2021-07-17 01:01:44;POSITIF
Syarifah Khatijah;Baik;5;2021-07-17 00:59:46;POSITIF
Chiko Muhammad;Aplikasi burik!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!.......................ngapain lihat ke bawah dah kubilang buri*kkkkkkkkk*kkkkkkkkkk*kk;5;2021-07-17 00:55:32;POSITIF
Pasha Faula;aplikasi nya bagus banget;5;2021-07-17 00:54:52;POSITIF
Putri Nava;Bagus;3;2021-07-17 00:48:25;NEGATIF
Azka Malik;Aku pernah mencoba aplikasih ini aku zoom dengan guru ku nama nya heni;5;2021-07-17 00:40:53;POSITIF
Eti Eka Rinawati;Rutft55;5;2021-07-17 00:40:24;POSITIF
Isma Nasrulia;Penyimpanan aku masih bnyk kok zoom nya ngga bisa ke downlod sih?;1;2021-07-17 00:38:19;NEGATIF
Sri Mulyatmi;Ok;5;2021-07-17 00:27:16;POSITIF
Ricky Indrasetia;Aplikasi yang sangat membantu sekali untuo kami para guru dlm proses pembelajaran dan komunikasi;5;2021-07-17 00:25:49;POSITIF
Syarifah Hamdah Mahdania;please for virtual background can be used for all types of Android smartphones.;3;2021-07-17 00:23:29;NEGATIF
MUHAMMAD ABIDIN6a16;Masak harus zoom;2;2021-07-17 00:22:41;NEGATIF
Adang Dang;Membantu;5;2021-07-17 00:09:22;POSITIF
Robiatun Juliyanti Rahayu;Aplikasi yang sangat bagus;5;2021-07-17 00:02:14;POSITIF
Siti Nurhasanah;Gabisa sign in;1;2021-07-16 23:57:43;NEGATIF
Semuel Demianus Dahoklory;Y.;5;2021-07-16 23:56:20;POSITIF
Gin snia;Aplikasi nya bagus bgttt!!!!!;5;2021-07-16 23:44:27;POSITIF
Dela Sari;Tolong pihak zoom untuk mengupdate agar semua jenis HP bisa menggunakan vitur virtual background.;3;2021-07-16 23:33:15;NEGATIF
Fajar Letsoin_25;Bagus;5;2021-07-16 23:32:53;POSITIF
Carlotha Simenes;??;5;2021-07-16 23:12:43;POSITIF
Nurmaula Ar;Good;5;2021-07-16 23:03:52;POSITIF
Jatimah 09;sgr bgusssssssssssss;5;2021-07-16 22:55:59;POSITIF
Elsa Dewi Puspita;Untuk pihak zoom.. tolong sediakan virtual background untuk hp android semua jenis. Kasian kalau pas sekolah ndak bisa ganti background sedangkan kami ndak punya laptop.;3;2021-07-16 22:53:13;NEGATIF
Aris Ferdiansyah;"Apknya bagus!!!!!!!!!!!!!!!?¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!?!?!?!.!????!)@@@@@@@@@!(!(!(!(;;!!!!!!!!!!!!!((@@@@@@@@@@@@@@@@@@)-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@aaaaaaa@@@@@@@@@@@@###@@@@@##@@@@@#@@##@#@#@#@##@#@@@###@#############@#@@@@@@@@@@@@#@#@###@@#@@@@@@@@@@@@@@@@@@@####@#######@@##@@####@@#@####################@@@@@@@@@@@@@@@@@@beneran apa liat ke bawah@@@@@@@@@@@@@@@";5;2021-07-16 21:48:27;POSITIF
ikyyy_61;aplikacci nna bagucc eung, twapi toyyong viltual bblackglound nna bbiccaa buat ccemua hp yyaa. janan piyyih kaccih anti athu gigit! rawrrrr;3;2021-07-16 21:06:06;NEGATIF
Stefanus Yoga;Tolong lah perbaiki saya buka zoom sudah sekian lama, sekarang eror, tiba ada tulisan got it terus saya tekan tiba mati phone;1;2021-07-16 18:38:51;NEGATIF
Ramadhan;tambahkan fitur kek di laptop donv biar gambar terlihat semua;5;2021-07-16 18:12:49;POSITIF
mr. Black;Mamtap aplikasi luar biasa;5;2021-07-16 17:15:11;POSITIF
Mutiara Ramadhani;Aplikasi yang sudah bagus, tapi tolong update lagi untuk menambahkan fitur yang sama di semua perangkat android agar bisa menggunakan virtual background yang dinilai sangat penting digunakan dalam suatu kegiatan, semoga dalam waktu dekat fiturnya dapat tersedia, terima kasih..;2;2021-07-16 17:00:58;NEGATIF
DAFFI AL FACHREZY;Ok;5;2021-07-16 16:44:05;POSITIF
andika santoso;Sangat membantu??;4;2021-07-16 16:30:31;POSITIF
Alisa nur;"Apk.a bagus bgt!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! apalagi ada filternya, biar lagi kelas gk buluk"" bgt ????";3;2021-07-16 16:08:26;NEGATIF
BERGITA SUSI SESA;Kenapa punya saya deskripsinya pakai Bahasa Inggris?;5;2021-07-16 15:43:59;POSITIF
Zaki Ashar;Ok;5;2021-07-16 15:12:29;POSITIF
Ahmad Qusyairi;Suka sama aplikasi ini;5;2021-07-16 15:11:26;POSITIF
Muhammad Ridwan;Bagus;4;2021-07-16 15:07:39;POSITIF
Devi Brln;Apk nya jelek bangetttttt, gk bisa buat akun sama sekali padhal udh d cpot psang berapa kali??????;1;2021-07-16 14:54:28;NEGATIF
Fatuliana Zahra;Cukup mmbntu;4;2021-07-16 14:49:52;POSITIF
Abimanyu Prasetya;Belum gw download jadi nanti gw rate;2;2021-07-16 14:41:26;NEGATIF
Darmawan Omde;Mantaf cok;5;2021-07-16 14:39:55;POSITIF
fransisco gilbert;Bagus;5;2021-07-16 14:33:24;POSITIF
Tias Virania;Mohon maaf klau bisa mb nya di kecilkan ya?? soalnya bsok zoom jdi dadak2 donlowt nya trus harus hapus aplikasi buat sekolah jga;5;2021-07-16 14:31:40;POSITIF
Sahrul Syahrul;Yaaaaa;5;2021-07-16 14:27:01;POSITIF
AGURIP :v;Aplikasi bagus cuman sayang kenapa setiap pakai ni aplikasi bikin hp cepat panas bahkan kalau pakai zoom lebih dari 20 menit panas banget;3;2021-07-16 14:22:59;NEGATIF
Khalifah Alghifary;Keren;5;2021-07-16 14:20:29;POSITIF
Putri Ponsel;Burik;1;2021-07-16 13:53:36;NEGATIF
Irfandri Official;Good;5;2021-07-16 13:53:07;POSITIF
Surya Syam;Zoom Cloud Meeting ok/yesss;5;2021-07-16 13:50:07;POSITIF
Bagus Aditia Putra;Alhamdulillah bermanfaat;3;2021-07-16 13:45:11;NEGATIF
Muafa Muafa;Oke;3;2021-07-16 13:30:00;NEGATIF
Dimas Uday;Aplikasi bagus bisa vc banyak orangggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg;5;2021-07-16 13:25:45;POSITIF
Amala Ulil;Mantap ??;5;2021-07-16 13:21:43;POSITIF
che Dogel Sudirov;ok;5;2021-07-16 13:03:52;POSITIF
Wahyuni Wahyuni;Bagus sekali;5;2021-07-16 12:54:54;POSITIF
Maharani Desvera Putri;Membantu bgt apsnyaa??;5;2021-07-16 12:54:31;POSITIF
irfan santosa;Opo iki elek men;5;2021-07-16 12:54:02;POSITIF
rafip rafip;Keren ni apk bisa vc sama guru!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!ngapain bang;5;2021-07-16 12:48:27;POSITIF
Khoirul Rona;Maaf saya kasih bintang 3 karna aku masih dongload;3;2021-07-16 12:45:33;NEGATIF
Renata Gaga;Kerennn;5;2021-07-16 12:35:47;POSITIF
R.amisyah Mr;ITS ok bgussssss;5;2021-07-16 12:35:19;POSITIF
Anastasius Wiki Guntoro;Aplikasi perusak bangsa (meresahkan);1;2021-07-16 12:30:17;NEGATIF
Mahiera Mahya;??;5;2021-07-16 12:27:11;POSITIF
Lissia Tanu;Sangat bagus saya suka sekali;5;2021-07-16 12:23:10;POSITIF
Agus Syhafradin;Bagus sekali ini aplikasi nya;2;2021-07-16 12:20:44;NEGATIF
Sr Luis Sia;Bagus, tp saat pakai metting eror;4;2021-07-16 12:20:35;POSITIF
