,content,score,English
187,Untuk pihak zoom.. tolong sediakan virtual background untuk hp android semua jenis. Kasian kalau pas sekolah ndak bisa ganti background sedangkan kami ndak punya laptop.,3,"For the zoom party, please provide a virtual background for all types of android phones. It's a pity that when we go to school we can't change the background while we don't have a laptop."
188,Apknya bagus!!!!!!!!!!!!!!!?¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!??!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!?!?!?!.!????!)@@@@@@@@@!(!(!(!(;;!!!!!!!!!!!!!((@@@@@@@@@@@@@@@@@@)-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@aaaaaaa@@@@@@@@@@@@###@@@@@##@@@@@#@@##@#@#@#@##@#@@@###@#############@#@@@@@@@@@@@@#@#@###@@#@@@@@@@@@@@@@@@@@@@####@#######@@##@@####@@#@####################@@@@@@@@@@@@@@@@@@beneran apa liat ke bawah@@@@@@@@@@@@@@@,5,Great apk!!!!!!!!!!!!!!!?¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!???!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!?!?!?!?!.!????!)@@@@@@@@@!(!(!(!(;;!! !!!!!!!!!!!((@@@@@@@@@@@@@@@@@)-@@@@@@@@@@@@@@@@ @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@aaaaaaa@@@@@@@@@@@## #@@@@@##@@@@@#@@##@#@#@#@##@#@@###@############@ #@@@@@@@@@@@@#@#@###@@#@@@@@@@@@@@@@@@@@@####@### ####@@##@@####@@#@###################@@@@@@@@@@@@ @@@@@@beenan what are you looking down @@@@@@@@@@@@@@@
189,"aplikacci nna bagucc eung, twapi toyyong viltual bblackglound nna bbiccaa buat ccemua hp yyaa. janan piyyih kaccih anti athu gigit! rawrrrr",3,"aplication for nna bagucc eung, twapi toyyong viltual bblackglound nna bbiccaa for all cellphones. janan piyyih kaccih anti athu bite! rawrrrr"
190,"Tolong lah perbaiki saya buka zoom sudah sekian lama, sekarang eror, tiba ada tulisan got it terus saya tekan tiba mati phone",1,"Please fix it, I've opened zoom for a long time, now it's an error, suddenly it says got it, then I press it suddenly the phone turns off"
191,tambahkan fitur kek di laptop donv biar gambar terlihat semua,5,add the typing feature on the laptop so that all the pictures can be seen
192,Mamtap aplikasi luar biasa,5,Awesome app
193,"Aplikasi yang sudah bagus, tapi tolong update lagi untuk menambahkan fitur yang sama di semua perangkat android agar bisa menggunakan virtual background yang dinilai sangat penting digunakan dalam suatu kegiatan, semoga dalam waktu dekat fiturnya dapat tersedia, terima kasih..",2,"An already good application, but please update again to add the same features on all android devices so that you can use the virtual background which is considered very important to use in an activity, hopefully in the near future the feature will be available, thank you.."
194,Ok,5,Ok
195,Sangat membantu??,4,Very helpful??
196,"Apk.a bagus bgt!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! apalagi ada filternya, biar lagi kelas gk buluk"" bgt ????",3,"Apk.a is great!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Moreover, there is a filter, so that the class won't be too bad ????"
197,Kenapa punya saya deskripsinya pakai Bahasa Inggris?,5,Why is my description in English?
198,Ok,5,Ok
199,Suka sama aplikasi ini,5,Like this app
200,Bagus,4,Good
201,"Apk nya jelek bangetttttt, gk bisa buat akun sama sekali padhal udh d cpot psang berapa kali??????",1,"The apk is really bad, I can't create an account at all even though it's been uninstalled how many times?????"
202,Cukup mmbntu,4,Helpful enough
203,Belum gw download jadi nanti gw rate,2,I haven't downloaded it yet so I'll rate it later
204,Mantaf cok,5,good choco
205,Bagus,5,Good
206,Mohon maaf klau bisa mb nya di kecilkan ya?? soalnya bsok zoom jdi dadak2 donlowt nya trus harus hapus aplikasi buat sekolah jga,5,"I'm sorry, can you reduce the mb? because tomorrow the zoom will suddenly download and then you have to delete the application for school too"
207,Yaaaaa,5,Yaaaaa
208,Aplikasi bagus cuman sayang kenapa setiap pakai ni aplikasi bikin hp cepat panas bahkan kalau pakai zoom lebih dari 20 menit panas banget,3,"It's a good application, but it's a shame why every time I use this application, the phone heats up quickly, even if I use zoom for more than 20 minutes, it's really hot"
209,Keren,5,Cool
210,Burik,1,Dotted
211,Good,5,good
212,Zoom Cloud Meeting ok/yesss,5,Zoom Cloud Meeting ok/yesss
213,Alhamdulillah bermanfaat,3,Thank God it's useful
214,Oke,3,Okay
215,Aplikasi bagus bisa vc banyak orangggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg,5,Good application can vc a lot of peoplegggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg
216,Mantap ??,5,Great ??
217,ok,5,ok
218,Bagus sekali,5,Very good
219,Membantu bgt apsnyaa??,5,What help huh?
220,Opo iki elek men,5,Opo this is elek men
221,Keren ni apk bisa vc sama guru!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!ngapain bang,5,This is cool apk can vc with teacher!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!what are you doing
222,Maaf saya kasih bintang 3 karna aku masih dongload,3,Sorry I gave 3 stars because I'm still downloading
223,Kerennn,5,Kerennn
224,ITS ok bgussssss,5,ITS ok bgusssss
225,Aplikasi perusak bangsa (meresahkan),1,Application destroying the nation (annoying)
226,??,5,??
227,Sangat bagus saya suka sekali,5,Very good I love it
228,Bagus sekali ini aplikasi nya,2,This application is very good
229,"Bagus, tp saat pakai metting eror",4,"Good, but when using meeting error"
230,Kayak nya si bagus aku juga belum coba??,4,Looks like it's good I haven't tried it yet??
231,Sangat bermanfaat bagi saya ??,5,Very useful for me ??
232,Aplikasi nyh bagus loh????,5,Is the application good?
233,Mantap,5,Great
234,Bagussss sekaliiiiiiiiiiiiiiiiiiiii,5,Very goodyyyyyyyyyyyyyyyyyyyyyyyy
235,Jelek lu,4,U bad
236,Mantap,5,Great
237,Kok gabisa diinstal apknyaa,1,How come I can't install the apk
238,Belajar lagi ? Anj lah??,1,Study more ? Anj is it??
239,Baik,5,Well
240,Sangat membantu,5,Very helpful
241,Bagus nya,5,it's good
242,Menunjang komunikasi jarak jauh,5,Support long distance communication
243,Layar pada saat zoom hitam semua.,1,The screen at the time of zoom all black.
244,Mending Skype,1,Better Skype
245,Thanks telah temani gw selama pandemi 2020-2021 and seterusnya,5,Thanks for accompanying me during the 2020-2021 pandemic and beyond
246,very recomended,5,very recommended
247,Sangat membantu,1,Very helpful
248,Good,5,good
249,Mantaaaaap......,5,Mantaaap......
250,"Saya kasih dua bintang dulu. Bagus untuk komunikasi jarak jauh luar kota dengn kapasitas lebih dari wa bisa sampai 300 orang namun mungkin bisa ditingkatkan lagi zoom berbayarnya, saya tdk bisa ikut webinar karena kuota full sdh 300 org dan sudah update malah nge lag jadi ketinggalan materi kuliah dan rapat. Mohon dipertimbangkan dan diperbaiki . Terimakasih.",2,"I give two stars first. It's good for long distance communication outside the city with a capacity of more than 300 people, but maybe the paid zoom can be increased, I can't join the webinar because the quota is full already 300 people and it's been updated, it even lags so I miss lectures and meetings. Please consider and improve . Thanks."
251,tolong zoom untuk memberikan akses virtual background di seluruh device android??,4,please zoom to give access to virtual background on all android devices??
