,content,score,English
96,Ok,5,Ok
97,B a g u s,5,Good
98,"Tolong dong diperbaiki bugnya, masa ada orang yg disuruh on google meet, habis itu disuruh hapalan pula, tolong diperbaiki aplikasinya",1,"Please fix the bug, when someone is asked to go on google meet, after that they are told to memorize it, please fix the application"
99,Sangat membantu,5,Very helpful
100,Sangat bagus,5,Very good
101,Apk paling dibutuhkan saat ini :)),5,Most needed apk right now :))
102,Ok,5,Ok
103,Mantaplah pokoknya,4,Really good
104,Bagus,5,Good
105,Looding trs / tertunda GK bisa nih...,1,"Loading continues/delayed, it can't work..."
106,bagusss,5,nice
107,Terima kasih,5,Thank you
108,Aplikasi ngga berguna,1,Useless app
109,Mau belajar,5,Want to learn
110,Kejam??????,1,Cruel??????
111,Cukup mudah digunakan,4,Quite easy to use
112,Bagus,5,Good
113,Ternyata bagus ini aplikasi lebih dari zoom cloud meeting lebih canggih tak ada kendala dari segi apapun dan penggunaanya gampang simple,5,"It turns out that this application is more than a zoom cloud meeting, it is more sophisticated, there are no problems in any way and its use is simple"
114,Gara2 apk ini sokolah online gua gak suka sekolah online lebih baik sekolah ofline bisa,1,"Why is this an online school, I don't like online schooling, it's better offline school"
115,Mudah praktis dan simpel,5,"Easy, practical and simple"
116,Wow debais deh aplikasi ini!!!!!!!!!!!!!!!!!!!!!!!!¡,5,Wow this app is awesome!!!!!!!!!!!!!!!!!!!!!!!!!
117,Ampas,1,Dregs
118,Membantu banget buat yang lagi belajar online,4,Very helpful for those who are learning online
119,"Saya senang karena versi aplikasi gmeet saya sudah bisa pakai latar belakang dan pake stiker juga sedangkan teman teman saya belum, jadi saya bisa pamer sama mereka bwahahahaahaha",5,"I'm happy because my version of the gmeet application can already use the background and use stickers too while my friends don't, so I can show off with them bwahahahaaha"
120,Awokawok,1,Awokawok
121,Baik,5,Well
122,Aku suka banget......????????,5,I like it so much......????????
123,Ok,5,Ok
124,Sangat membantu,5,Very helpful
125,Alhamdulullaah aplnya mabtap,4,Thank God the cellphone is solid
126,"gambar kadang telat, lelet, suara bergema atau tidak jelas, keluar-keluar sendiri.",1,"the picture is sometimes late, slow, the sound echoes or is not clear, comes out on its own."
127,Sahabat di kala susah sinyal:),5,Friends when the signal is hard :)
128,Ok,5,Ok
129,Payah,1,bad
130,Enakan yang dulu,1,Enjoy the first
131,"Fitur nya sudah ada tapi HP kaga bisa memakai fitur Ganti Background , Padahal udah Android 11 dan sudah Ram 8 , Device : Redmi Note 9 Pro . Tolong dong Perbaiki",4,"The feature is already there but the cellphone can't use the Change Background feature, even though it's Android 11 and has Ram 8, Device: Redmi Note 9 Pro. Please fix it"
132,Sebagai Dosen sangat bermanfaat untuk menyampaikan materi kuliah,5,"As a Lecturer, it is very useful to deliver lecture material"
133,Bagus Buat Di Masa Masa Pandemi Yaitu Buat Belajar,5,"Good for During the Pandemic Period, That is For Learning"
134,Okkkkk,5,Okkkkk
135,Aku senang sekali bisa ketemu teman ku aku kangen banget sama temenku???????????????????????????????aku sangat senang bertemu buguru ku ??????????????????????????????????????????????????????? Aku senang banget bertemu dengan teman baikku ?????????????????????????????????????????????????????????????????? Nama saya riska isma dayanti ??????????? Aku orang nya lahir di kendal / kaliwungu ?????????????????????????????????????????????????????? Aku umur 10 tahun dan aku suka apk ini aku suka banget,5,I'm so happy to meet my friend I really miss my friend???????????????????????????????I'm very happy to meet my buguru ? ???????????????????????????????????????????????? ???? I'm so happy to meet my best friend ???????????????????????????????????????? ???????????????????????? My name is riska isma dayanti ??????????? I'm the person born in Kendal / Kaliwungu ?????????????????????????????????????? ???????????? I'm 10 years old and I like this apk I really like it
136,bagus,5,good
137,Mantaaaap,5,great
138,"Hy google meet, gimana ko saya ngak bisa masuk ?",1,"Hey google meet, how come I can't sign in?"
139,Gara gara aplikasi ini gue jadi harus donlod ini aplikasi gara gara belajar online,1,Because of this application I have to download this application because of online learning
140,Keremm,5,Keremm
141,GOOD ????,5,GOOD ????
142,Kebutuhan malah di jadi uang byr perbulan ingat Internet free ke semua nk byr 1star gift la studen get free on pendemik,1,Needs are even turned into money byr per month remember free internet to all nk byr 1star gift la student get free on pandemic
143,Notifikasi ngehalangi live chat,1,Notifications blocking live chat
144,??????????????,5,????????????????
145,Bagus,4,Good
146,GG bang kata saripudin,5,GG bang said saripudin
147,Bagus kok,5,How good
148,Baikk,5,ok
149,Good,5,good
150,Asyik utk pertemuan secara daring,5,Fun for online meetings
151,Suka,5,Like
152,Baik,4,Well
153,Thanks For Watching Google Meet,5,Thanks For Watching Google Meet
154,Good,5,good
155,Bagus,5,Good
156,Keren habis habis yaaa,4,It's cool after all
157,Syuka,5,like
158,????????????,5,????????????
159,Wak wak minum kambing rasanya memang kambingggggg Begitu juga dengan aplikasi ini yang sangat jelekkkkkkkkkk tapiiiiiiiii memang jelekkkk hahaihahaihahaaa?????? eeeeee,1,Wak wak drinking goat it tastes really goatggggg Likewise with this application which is very badkkkkkkkkkk buteeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee?????? EE ee ee
160,"Gara²ada apk kayak gini jadi harus belajar ttap muka online,,,ribet astaga:v,,suka bug lagi,,sinyal nya bagus juga suka putus²,udah tau putus²eh guru nanya trus di jawab salah malah nyalahin ke muridnya kyakan,materinya juga nggk kedenger jelas,gimana mo paham,,,,mending hapus aja deh dari playstore,,,enek gw liat apk kayak gini,,,yang ada malah nyusahin,,,arigatou,,,sayonara mina:v",1,"Because there's an apk like this, so you have to learn face-to-face online,,, it's complicated, gosh:v,, like bugs again,, the signal is good and it breaks up, you already know it's broken, the teacher asks questions and then you get the wrong answer instead you blame the students, I can't hear the material either clear, how do you understand,,,, better delete it from the playstore,,,, it's good to see an apk like this,,, what's there is even more difficult,,,arigatou,,,sayonara mina:v"
161,Sangat membatu apalagi di saat sekarang lagi covid-19,5,Very petrified especially at this time of covid-19
162,Baik mantap,2,good steady
163,90% yang download ini karena pandemi,5,90% who downloaded this because of the pandemic
164,Update yg sekarang TDK bagus kemarin msh bisa dipakai tpi sekarang masuk meet aja gabisa gabung susah jadinya untuk belajar Mohon diperbaiki,1,"The update that is now NOT good yesterday can still be used but now I just enter the meet, I can't join it's difficult to learn Please fix it"
165,Bagus sih jelas juga vidionya.,5,It's good that the video is clear.
166,Good,5,good
167,Bagus,5,Good
168,Sangat hebat saya bisa bertemu dengan teman saya yang ada di sekolah Di komputer pun juga bisa digunakan untuk sekolah????????,5,It's great I can meet my friends who are at school On the computer can also be used for school????????
169,Kalian harus download ya teman-teman ini aplikasinya Bagus untuk video call temen2,5,"You have to download, friends, this application is good for video calls, friends"
170,Bagus,5,Good
171,Apk bagus untuk belajar,5,Good apk for learning
172,Lebih diperbaharui lagi untuk kualitas ny,4,More updated for the quality
173,Kurang segala² d'buru² malah muter² terus,1,"Not everything is in a hurry, even playing continues"
174,Cara masuk link zoom gmn?,5,How do you enter the zoom link?
175,Bagus ini,5,This is good
176,Jos,5,Jose
177,Bisa buat sekolah,5,Can make school
178,Good,5,good
179,ok,5,ok
180,ok,5,ok
181,Okk,5,ok
182,Bagus,5,Good
183,apknya bagus banget,4,the apk is really good
184,Lumayan...membantu meeting sekolah..mksh,5,Not bad...helping school meeting..mksh
185,Bagus,5,Good
186,Aneh2 guru sekarang lier,5,Weird teacher now lier
187,Patah patah,1,Broken
188,"Pembaharuannya bagus, tapi membuat presentasi layar tidak terlihat, mohon perbesar layar, terimakasihh",1,"The update is good, but it makes the screen presentation invisible, please enlarge the screen, thank you"
189,Bagus ..,4,Good ..
190,Kualitas gambar dan suara terkadang bermasalah,4,Picture and sound quality is sometimes problematic
191,Lamaaaa donlowadnya :(,2,Long download :(
192,Knp gk bisa di Download,3,Why can't it be downloaded
193,Jelek,5,Bad
194,Susah masuk kode meeting,5,It's hard to enter the meeting code
195,Ok,5,Ok
196,Simple,5,Simple
197,Mantap,5,Great
198,gak bisa nampilin presentasi,1,can't show the presentation
199,Aplikasi nya bagus benget kalian harus downloat aplikasi ini????,5,"The application is really good, you have to download this application????"
200,Bagus !,5,Good !
201,"Versi terbatu ga bisa di instal di hp samsung j5 2015 sayang banget,...",1,"The latest version can't be installed on a Samsung J5 2015 cellphone, it's a shame,..."
202,Lumayan bagus,4,Pretty good
203,GOOD JOB??,5,GOOD JOB??
204,Bagus dan tanpa lag,5,Good and no lag
205,Ok,5,Ok
206,Berat banget aplikasi ini semenjak di update du ??????????,2,This application is very heavy since it was updated ???????????
207,"Kok.,tidak bisa didownload ya??????",1,How come it can't be downloaded?????
208,"Mohon diperbaiki masalah masuk link meet, selalu menyiapkan terlalu lama.",2,"Please fix the problem of entering the meet link, it always takes too long to prepare."
209,Gara gara aplikasi ini gue belajar tambah pusing,1,"Because of this application, I learned to get dizzy"
210,Bagus,5,Good
211,Apaan nih,1,What's this
212,Ok,5,Ok
213,Bagus,5,Good
214,Mempermudah komunikasi masalah jarak jauh,5,Facilitate communication of remote problems
215,Keren,5,Cool
216,"Keseluruhan udah bagus, tapi pas full screen ada profil disebelah kanan atas yang lumayan ganggu.. saran saya profilnya dihilangkan saja. Terima kasih",4,"Overall it's good, but when it's full screen there is a profile on the top right which is quite annoying... my suggestion is to just delete the profile. Thank you"
217,Bagus????????,5,Good????????
218,bagus,5,good
219,Good,5,good
220,Bisa live streaming virtual gak,5,Can you live stream virtual or not?
221,Terbaik,1,Best
222,Google meet kita mantap,5,Our Google meet is great
223,Bagus,5,Good
224,Bagus sih tapi suka keluar sendiri pas lagi dipake,2,"It's good, but I like to go out alone when I'm wearing it"
225,Luar biasa membantu,5,Incredibly helpful
226,Hadehh Malay Malay....App lu nyusahin orang aja Rambutnya si botak belum ditumbuhin udah sok asik Hadehhhhhhhh..................,1,"Hadehh Malay Malay.... Your app just makes it difficult for people. The bald guy's hair hasn't been grown yet, it's pretty cool Hadehhhhhhhh.................."
227,Sangat bagus,5,Very good
228,Bagus,4,Good
229,Bagus,2,Good
230,Perbaiki lg fitur agar memudahkan para penguna,1,Improve the features again to make it easier for users
231,Bagus sekali,5,Very good
232,????????,5,????????
233,Ga bisa di download ??,1,Can't download??
234,Bagus,1,Good
235,"Baru di download, sudah minta di update aneh",3,"Just downloaded, already asked for a strange update"
236,Keren,5,Cool
237,Mantep coy Google Meetnya mantep,5,"Good job, Google Meet is good"
238,Baik,5,Well
239,"Bagus,tapi tampilan nya bikin gak nyaman,udh gak bisa ganti keputih lagi,laptop doang bisa. :()",3,"It's good, but the appearance makes you uncomfortable, you can't change white anymore, you can only use a laptop. :()"
240,Ol,5,Ol
241,Bagus sih tpi mohon maaf saya lebih suka tampilan yg lama lebih fleksibel dan gak bikin sakit mata,3,It's good but I'm sorry I prefer the old look which is more flexible and doesn't hurt the eyes
242,????????,5,????????
243,Bagus bet untuk kelas online,5,Good bet for online classes
244,Baik,5,Well
245,Biasa saja,3,Ordinary
246,Ok,5,Ok
247,"Tolong saat presentasi ada option untuk mematikan mic karena untuk mengurangi suara2 masuk yg tidak jelas, thanks",4,"Please during the presentation there is an option to turn off the mic because it reduces the incoming voices that are not clear, thanks"
248,Akses yang mudah,5,Easy access
249,Ok,5,Ok
250,GAK SUKA SEKOLAH,1,DON'T LIKE SCHOOL
251,Jos,4,Jose
252,B aja,5,just B
253,Gooddddddddd,5,Gooddddddddd
254,GEMBEL,1,POOR
255,ajur,1,correct
256,Good...,5,Good...
257,Sangat berguna dan bermanfaat,5,Very useful and helpful
258,"Bguss yahhh ,aman di pakai",5,"It's good, it's safe to use"
259,Bagus banget!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,Really good!!!!!!!!!!!!!!!!!!!!!!!!!!!
260,Time main game laju Line tapi time masuk kelas online ya allah....slow gila padahal Line ok,2,"Time to play the game at the speed of Line but when you enter the online class, oh my god.... it's crazy slow even though Line is ok"
261,"Gak guna sekali nih aplikasi, penghabisan paket jangan di download rugi banget hapus aja nih aplikasi taik",1,"This application is useless, don't download the package at the end of the day, it's a big loss, just delete this application"
262,bagus,5,good
263,UI nya makin ribet,2,The UI is getting more complicated
264,????,5,????
265,Oke lah,4,Okay
266,Buruk,1,Bad
267,Bagusssss sekaliiii,4,Very good
268,Bermanfaat,5,Beneficial
269,Bagus,5,Good
270,Baik,5,Well
271,Oke,5,Okay
272,Ok,5,Ok
273,"Dari tdi pagi mau di download tpi nga bisa""??",3,"Since this morning I want to download it but can't""??"
274,"Developer aplikasi Google meet di perbaiki, saya pakai Google meet dengan wifi tapi sering error aplikasi dan saya pakai website aja lancar2 aja.????????",1,"The developer of the Google meet application has been fixed, I use Google meet with wifi but the application often crashes and I use the website just fine.????????"
275,Hp saya infinix hot 10S dan android 11... tapi ga ada fitur background nya di GMeet,2,My cellphone is infinix hot 10S and android 11... but there is no background feature in GMeet
276,Sangat membantu untuk zoom meet sekolah,5,Very helpful for zoom meet school
277,Ok,5,Ok
278,Saran aja virtual background nya tolong lah sama ratakan masa spek nya udah sesuai kriteria tapi tetep gabisa di pake :) ga adil #savehpkentang,1,"Just a suggestion for the virtual background, please just average the specs, it's already according to the criteria but still can't be used :) it's not fair #savehpkentang"
279,Nice,5,nice
280,"Wtf. Speaker sering bocor, delay nya keterlaluan, pdahal sinyal udh bagus banget. Mending apk sebelah",1,"wtf. The speakers often leak, the delay is outrageous, even though the signal is really good. Better apk next door"
281,Bagus banget,5,Really good
282,Segini dulu,3,First of all
283,Ku kasih bintang 5 karna bagus??????????????????????????????,1,I give 5 stars because it's good??????????????????????????????
284,Bagus. Lancar,5,Good. Fluent
285,l ?ççtv.,2,l ?ççtv.
286,???????? ?????????????? ?????????? ?????? ?????? ??,5,???????? ???????????????? ???????????? ?????? ?????? ??
287,Mantap-Que,5,Steady-Que
288,Buat meeting oke lah,5,Make a meeting okay
289,Keren sih,5,It's cool
290,apl ini bagus banggat,5,this app is good
291,Bagus,5,Good
292,Sangat berguna,5,Very useful
293,Menguras data,4,Data drain
294,Baru download JAN SO KERAS!,5,Just downloaded JAN SO HARD!
295,"Hai, aku Rahma, menurutku aplikasi ini sangat membantu...",5,"Hi, I'm Rahma, I think this application is very helpful..."
296,GAmpang d mengerti,5,Easy to understand
297,"saya sering mengalami bug saat meet, solusinya bagaimana ya? padahal sinyal relatif stabil.",3,"I often experience bugs during meetings, what's the solution? although the signal is relatively stable."
298,Kerenn,4,Kerenn
299,Mantaaaaaappp??,5,Mantaaaaaaapp??
300,Yah gitulah,3,Well that's it
301,Kamera saya di akun oranglain kok mirror yaa pdhl di akun gmeet saya tidak mirror,3,"Why is my camera on someone else's account mirrored, but on my gmeet account it's not mirrored"
302,"pada saat meeting berlansung, tiba tiba keluar sendiri.. padahal kouta banyak dan jaringan lancar.. agar dimaksimalkan lagi.",3,"when the meeting took place, suddenly it came out by itself.. even though there was a lot of quota and the network was smooth.. so that it could be maximized again."
303,Mantap,5,Great
304,Share screen gak ada suaranya blok,1,Share screen there is no sound block
305,Good,5,good
306,OK Alex Nova Adam Sisca Ali Opung Alex Opung Adam,5,OK Alex Nova Adam Sisca Ali Opung Alex Opung Adam
307,Aplikasi yang mudah di pahami,5,Easy to understand application
308,bagus,5,good
309,Aplikasi apa ini? Gak BS aktifkan audio. Jelek parah,1,What application is this? Can't turn on audio. bad bad
310,Sangat bagus...,5,Very good...
311,"Bagus, tidak ada batasan waktu dan mudah menggunakanya",5,"Good, no time limit and easy to use"
312,Docaumo??,5,Docomo??
313,Ku harap apk ini dihapus,5,I hope this apk is deleted
314,Hai ini bagus,5,Hi this is good
315,Terimakasih,5,Thank you
316,Bagus,5,Good
317,Suka,4,Like
318,Good,5,good
319,Bagus',5,Good'
320,Sangat bagus,5,Very good
321,Bagus,5,Good
322,Apk metting serupa apk metting zoom,5,The meeting apk is similar to the Zoom meeting apk
323,Semangat,5,Spirit
324,Not working,1,Not working
325,Recommended untuk sekelas Gratisan,5,Recommended for free class
326,Suara Eror gak kedengeran,1,Error voice can't be heard
327,baik sekali,5,very well
328,Suka ngelag,2,Like to lag
329,Aku belum nyoba si jadi aku kasih bintang dua dulu entar kalo bagus aku tambahin bintangnya....,2,"I haven't tried it yet so I'll give it two stars first, then if it's good I'll add another star...."
330,Aplikasi nya bagus,5,The app is good
331,Gpp,1,It doesn't matter
332,Wi,1,Wi
333,Oke,5,Okay
334,"Keren,bantu banget buat belajar dan seminar online",5,"Cool, really helpful for online learning and seminars"
335,"Update yg sekarang tidak bagus, bagusan yang kemarin-kemarin... Kalo versi sekarang kegedean layar orang nya dan ketika di miringkan susah untuk ngambil screenshot karena kehalang sama profil..tolong perbaiki",2,"The current update is not good, it's better than yesterday... If the current version is too big for the screen and when it's tilted it's hard to take screenshots because it's blocked by the profile.. please fix it"
336,sangat membantu pekerjaan,5,very helpful job
337,Soip,5,Soip
338,Putus putus,1,break up
339,Gw lagi sekolah online tapi gak ada hp jadi aku pake apk ini,5,I'm still studying online but I don't have a cellphone so I use this apk
340,Saran saya mohon kembagin lagi dong misal di hp . Saat meet kita hanya melihat beberapa org saja tolong tingkatin lagi agar bisa melihat semua yg ada di google meet ini ??,5,"My advice, please try again, for example on a cellphone. When we meet, we only see a few people, please upgrade so we can see everything on this google meet??"
341,Salman Aziz fadhlurahman,5,Salman Aziz Fadhlurahman
342,Kanapa gak bisa di dowload,4,Why can't it be downloaded
343,Tampilan barunya keren,5,Cool new look
344,Sangat membantu,5,Very helpful
345,Google meet paling the best,5,Google meets the best
346,Very clear,5,Very clear
347,Tidak bisa digunakan??,1,Can not be used??
348,Memuaskan!!!????,5,Satisfying!!!????
349,??????????,5,????????????
350,Bagus,5,Good
351,3 dlu deh,3,3 first
352,Kok gak bisa diupdate,1,Why can't it be updated
353,cupu,1,Nerd
354,Mantap sekali epribadeh??,5,"Very good, epribadeh??"
355,Kontolllll,1,cockllll
356,Ancorrr,1,Ancorrr
357,Waw,5,Wow
358,Bagus,5,Good
359,Bagus dan sangat membantu,5,Nice and very helpful
360,Aplikasi nya bagus buat sekolah,5,Great app for school
361,Lebih mudah dan praktis,5,Easier and more practical
362,Good,5,good
363,????????????????????????????????????????????????????????????????????????????,5,???????????????????????????????????????????????? ????????????????????????????
364,Lumayan bagus,5,Pretty good
365,good,5,good
366,Sangat baik,5,Very good
367,Bagus,5,Good
368,"Usahakan lancarkan pemakaian,jangan keluar masuk",1,"Try to run smoothly, don't go in and out"
369,Aplikasi ini bagus banget,5,This app is really good
370,Bye one dek):,5,Bye one deck):
371,"Lumayan bagus, tapi tolong diperbaiki suaranya hilang² saat sedang meet padahal jaringan sangat bagus dan lancar ????",3,"It's pretty good, but please fix the sound when you're meeting, even though the network is very good and smooth ????"
372,Tidak kedengeran suaranya ..,3,Can't hear his voice..
373,Ok,5,Ok
374,"Aplikasi nya suka keluar sendiri padahal jaringan bagus, Terus kamera suka gelap sendiri padahal mah cerah disini Mohon di perbaiki lagi ??",1,"The application likes to come out on its own even though the network is good, Then the camera likes to dark itself even though it's bright here Please fix it again??"
375,Terbaik,5,Best
376,Kok GK bisa masuk bodoh,1,How come GK can enter stupid
377,"Lebih suka versi yang lama² kalau di hp sama laptop ketimbang yang baru aneh semua filternya. Buat screen gambar video, dll ke orang lain suaranya malah ga kedengeran. Tolong kembalikan versi lama. Terimakasih",1,"I prefer the old version on my cellphone and laptop rather than the new one, all the filters are weird. Make screen images, videos, etc. to other people, the sound is not even heard. Please return the old version. Thank you"
378,Faktor up,1,factor up
379,Yh bkn saya menjadi pintar dan bertemu sbanyak banyak nya,5,Yh not I became smart and met a lot of them
380,bagus sekali,5,very good
