userName;content;score;at;Nilai;;;
Muhammad Azmi;Mudah praktis dan simpel;5;2021-06-29 12:41:05;POSITIF;;;
Ida Ismail;Wow debais deh aplikasi ini!!!!!!!!!!!!!!!!!!!!!!!!¡;5;2021-06-29 12:17:51;POSITIF;;;
Dandi marah2 gaming;Ampas;1;2021-06-29 09:48:31;NEGATIF;;;
Nur Fatimah;Membantu banget buat yang lagi belajar online;4;2021-06-29 09:18:54;POSITIF;;;
Kang Mase;Saya senang karena versi aplikasi gmeet saya sudah bisa pakai latar belakang dan pake stiker juga sedangkan teman teman saya belum, jadi saya bisa pamer sama mereka bwahahahaahaha;5;2021-06-29 07:53:26;POSITIF;;;
muhammad zaidan Siraaj;Awokawok;1;2021-06-29 07:47:29;NEGATIF;;;
Susi Sustiyawati;Baik;5;2021-06-29 05:42:03;POSITIF;;;
Kakung Kakung;Aku suka banget......????????;5;2021-06-29 05:12:53;POSITIF;;;
Mardison Ampuang;Ok;5;2021-06-29 03:41:09;POSITIF;;;
Rini Endah;Sangat membantu;5;2021-06-29 03:03:51;POSITIF;;;
Anisa Hafifah;Alhamdulullaah aplnya mabtap;4;2021-06-29 01:20:53;POSITIF;;;
Afa;gambar kadang telat, lelet, suara bergema atau tidak jelas, keluar-keluar sendiri.;1;2021-06-28 22:42:58;NEGATIF;;;
Mutia Salsabila;Sahabat di kala susah sinyal:);5;2021-06-28 22:32:09;POSITIF;;;
Ludfi Hariyadi;Ok;5;2021-06-28 18:16:15;POSITIF;;;
Lefi Sari;Payah;1;2021-06-28 18:03:41;NEGATIF;;;
Farid Wajdy;Enakan yang dulu;1;2021-06-28 17:20:17;NEGATIF;;;
Channel Gamers;Fitur nya sudah ada tapi HP kaga bisa memakai fitur Ganti Background , Padahal udah Android 11 dan sudah Ram 8 , Device : Redmi Note 9 Pro . Tolong dong Perbaiki;4;2021-06-28 15:59:03;POSITIF;;;
jokopurwanto nugroho;Sebagai Dosen sangat bermanfaat untuk menyampaikan materi kuliah;5;2021-06-28 15:52:09;POSITIF;;;
Revan Yoga Pratama;Bagus Buat Di Masa Masa Pandemi Yaitu Buat Belajar;5;2021-06-28 14:29:18;POSITIF;;;
Destina Zurita;Okkkkk;5;2021-06-28 14:00:39;POSITIF;;;
Riska cs #2Jack;Aku senang sekali bisa ketemu teman ku aku kangen banget sama temenku???????????????????????????????aku sangat senang bertemu buguru ku ??????????????????????????????????????????????????????? Aku senang banget bertemu dengan teman baikku ?????????????????????????????????????????????????????????????????? Nama saya riska isma dayanti ??????????? Aku orang nya lahir di kendal / kaliwungu ?????????????????????????????????????????????????????? Aku umur 10 tahun dan aku suka apk ini aku suka banget;5;2021-06-28 13:54:38;POSITIF;;;
Waa Suherman;bagus;5;2021-06-28 10:25:20;POSITIF;;;
yakub ayub;Mantaaaap;5;2021-06-28 08:03:43;POSITIF;;;
Jerry Dompu;Hy google meet, gimana ko saya ngak bisa masuk ?;1;2021-06-28 06:43:19;NEGATIF;;;
TZ Faaiz;Gara gara aplikasi ini gue jadi harus donlod ini aplikasi gara gara belajar online;1;2021-06-28 03:52:35;NEGATIF;;;
Maguraa. ft Gawr gura.;Keremm;5;2021-06-28 03:47:09;POSITIF;;;
Rumondang Yosefha Sidauruk;GOOD ????;5;2021-06-28 03:25:18;POSITIF;;;
GreatEvoltZul;Kebutuhan malah di jadi uang byr perbulan ingat Internet free ke semua nk byr 1star gift la studen get free on pendemik;1;2021-06-28 02:44:31;NEGATIF;;;
Ibnu Zubair;Notifikasi ngehalangi live chat;1;2021-06-28 02:26:11;NEGATIF;;;
Centrum Gaming;??????????????;5;2021-06-28 00:50:36;POSITIF;;;
wijayanto wildan;Bagus;4;2021-06-27 23:58:45;POSITIF;;;
Lol Craft13;GG bang kata saripudin;5;2021-06-27 16:02:40;POSITIF;;;
Paus Cassiopella;Bagus kok;5;2021-06-27 15:47:12;POSITIF;;;
Elaineesty;Baikk;5;2021-06-27 13:27:50;POSITIF;;;
nanang yogi;Good;5;2021-06-27 12:51:08;POSITIF;;;
Cicilia Hauw;Asyik utk pertemuan secara daring;5;2021-06-27 12:20:44;POSITIF;;;
joy margareth;Suka;5;2021-06-27 10:39:37;POSITIF;;;
adi sutiyo;Baik;4;2021-06-27 10:18:47;POSITIF;;;
syifa khanzanie ariffian;Thanks For Watching Google Meet;5;2021-06-27 09:22:39;POSITIF;;;
James Kintopo;Good;5;2021-06-27 07:53:48;POSITIF;;;
Suharni Suhar Ni;Bagus;5;2021-06-27 05:42:06;POSITIF;;;
Salmah Saleh;Keren habis habis yaaa;4;2021-06-27 05:03:16;POSITIF;;;
Zulkarnaen Zul;Syuka;5;2021-06-27 04:17:39;POSITIF;;;
Ri Na;????????????;5;2021-06-27 03:55:21;POSITIF;;;
Anning Dermaga;Wak wak minum kambing rasanya memang kambingggggg Begitu juga dengan aplikasi ini yang sangat jelekkkkkkkkkk tapiiiiiiiii memang jelekkkk hahaihahaihahaaa?????? eeeeee;1;2021-06-27 03:09:19;NEGATIF;;;
Ind_ kuuhaku;Gara²ada apk kayak gini jadi harus belajar ttap muka online,,,ribet astaga:v,,suka bug lagi,,sinyal nya bagus juga suka putus²,udah tau putus²eh guru nanya trus di jawab salah malah nyalahin ke muridnya kyakan,materinya juga nggk kedenger jelas,gimana mo paham,,,,mending hapus aja deh dari playstore,,,enek gw liat apk kayak gini,,,yang ada malah nyusahin,,,arigatou,,,sayonara mina:v;1;2021-06-26 14:11:14;NEGATIF;;;
Liana Anna;Sangat membatu apalagi di saat sekarang lagi covid-19;5;2021-06-26 13:51:23;POSITIF;;;
Heykal Akbar;Baik mantap;2;2021-06-26 12:06:33;NEGATIF;;;
Cendcend Ong;90% yang download ini karena pandemi;5;2021-06-26 10:24:57;POSITIF;;;
Kamelia Juniarti;Update yg sekarang TDK bagus kemarin msh bisa dipakai tpi sekarang masuk meet aja gabisa gabung susah jadinya untuk belajar Mohon diperbaiki;1;2021-06-26 10:05:30;NEGATIF;;;
Zahra Zalianty;Bagus sih jelas juga vidionya.;5;2021-06-26 09:37:57;POSITIF;;;
Edo Auto Variasi;Good;5;2021-06-26 07:33:39;POSITIF;;;
Anha Nur vanesa;Bagus;5;2021-06-26 05:10:57;POSITIF;;;
Harto Mas;Sangat hebat saya bisa bertemu dengan teman saya yang ada di sekolah Di komputer pun juga bisa digunakan untuk sekolah????????;5;2021-06-26 05:01:43;POSITIF;;;
SAJIDAH ALIYAH;Kalian harus download ya teman-teman ini aplikasinya Bagus untuk video call temen2;5;2021-06-26 04:23:54;POSITIF;;;
Frederika Pella;Bagus;5;2021-06-26 03:54:21;POSITIF;;;
Ferdi Nandhika Akbar;Apk bagus untuk belajar;5;2021-06-26 02:04:46;POSITIF;;;
Sulhawati Elhubbah;Lebih diperbaharui lagi untuk kualitas ny;4;2021-06-26 00:30:45;POSITIF;;;
Ani Zukiani;Kurang segala² d'buru² malah muter² terus;1;2021-06-26 00:00:39;NEGATIF;;;
Vincentius Darel;Cara masuk link zoom gmn?;5;2021-06-25 13:58:20;POSITIF;;;
Widya Hessa;Bagus ini;5;2021-06-25 12:47:16;POSITIF;;;
PuspitaNingsih Ningsih;Jos;5;2021-06-25 11:36:01;POSITIF;;;
01 Alvin Damara;Bisa buat sekolah;5;2021-06-25 11:14:34;POSITIF;;;
nabil bn yahya abdu waseel ???? ??? ????;Good;5;2021-06-25 08:07:40;POSITIF;;;
Abah Alun;ok;5;2021-06-25 07:26:56;POSITIF;;;
Siska Kartika;ok;5;2021-06-25 06:16:48;POSITIF;;;
Harini Wulandari;Okk;5;2021-06-25 03:39:30;POSITIF;;;
Fachri fadilah;Bagus;5;2021-06-25 03:15:45;POSITIF;;;
Septiana Ramadani;apknya bagus banget;4;2021-06-25 02:52:05;POSITIF;;;
ego chelta;Lumayan...membantu meeting sekolah..mksh;5;2021-06-25 02:24:17;POSITIF;;;
Ahzab Firmansyah;Bagus;5;2021-06-25 02:13:50;POSITIF;;;
Hoerul Anam;Aneh2 guru sekarang lier;5;2021-06-25 02:02:43;POSITIF;;;
Ramdhan Rifai;Patah patah;1;2021-06-25 00:58:33;NEGATIF;;;
MANGGALA YUDHA KINASIH;Pembaharuannya bagus, tapi membuat presentasi layar tidak terlihat, mohon perbesar layar, terimakasihh;1;2021-06-25 00:41:13;NEGATIF;;;
Selamet J. Hia;Bagus ..;4;2021-06-25 00:34:55;POSITIF;;;
Neng Fatmah;Kualitas gambar dan suara terkadang bermasalah;4;2021-06-25 00:03:42;POSITIF;;;
Anandina Fairuz;Lamaaaa donlowadnya :(;2;2021-06-24 23:47:54;NEGATIF;;;
Cici Adelina;Knp gk bisa di Download;3;2021-06-24 23:00:34;NEGATIF;;;
gracia sinaga;Jelek;5;2021-06-24 14:49:56;POSITIF;;;
Dhea;Susah masuk kode meeting;5;2021-06-24 14:33:52;POSITIF;;;
Heni Dedi;Ok;5;2021-06-24 14:28:25;POSITIF;;;
Christ KRP;Simple;5;2021-06-24 13:21:31;POSITIF;;;
Steven Simra;Mantap;5;2021-06-24 13:10:07;POSITIF;;;
ramdanul xxi;gak bisa nampilin presentasi;1;2021-06-24 12:40:15;NEGATIF;;;
Fuji Tari;Aplikasi nya bagus benget kalian harus downloat aplikasi ini????;5;2021-06-24 11:34:35;POSITIF;;;
Amanda Fitriyah Nuraini;Bagus !;5;2021-06-24 11:32:32;POSITIF;;;
Riska Nur A'isah;Versi terbatu ga bisa di instal di hp samsung j5 2015 sayang banget,...;1;2021-06-24 11:29:30;NEGATIF;;;
Hendi Kusumah;Lumayan bagus;4;2021-06-24 09:07:22;POSITIF;;;
Mimih 12;GOOD JOB??;5;2021-06-24 08:11:00;POSITIF;;;
agus rangkuti;Bagus dan tanpa lag;5;2021-06-24 07:39:01;POSITIF;;;
Ardiyanto 99;Ok;5;2021-06-24 05:29:35;POSITIF;;;
Aileen Nathania Effendy;Berat banget aplikasi ini semenjak di update du ??????????;2;2021-06-24 05:05:18;NEGATIF;;;
Eddy Saputra;Kok.,tidak bisa didownload ya??????;1;2021-06-24 04:34:04;NEGATIF;;;
Rizky Akbar;Mohon diperbaiki masalah masuk link meet, selalu menyiapkan terlalu lama.;2;2021-06-24 04:33:08;NEGATIF;;;
Eji Hidayat;Gara gara aplikasi ini gue belajar tambah pusing;1;2021-06-24 03:31:58;NEGATIF;;;
Dzikra Mumtaza;Bagus;5;2021-06-24 02:44:06;POSITIF;;;
Siti Nur azizah;Apaan nih;1;2021-06-24 02:10:22;NEGATIF;;;
Shopiah Marwati;Ok;5;2021-06-24 01:11:42;POSITIF;;;
Andreas Trasilo;Bagus;5;2021-06-23 23:51:18;POSITIF;;;
Pujiwiyati Garuda;Mempermudah komunikasi masalah jarak jauh;5;2021-06-23 20:06:56;POSITIF;;;
Ersyad Prayoga L;Keren;5;2021-06-23 14:03:55;POSITIF;;;
PaNas 1;Keseluruhan udah bagus, tapi pas full screen ada profil disebelah kanan atas yang lumayan ganggu.. saran saya profilnya dihilangkan saja. Terima kasih;4;2021-06-23 13:45:05;POSITIF;;;
Mitro saputra Kalapot;Bagus????????;5;2021-06-23 13:08:39;POSITIF;;;
Dea Hassya;bagus;5;2021-06-23 13:02:36;POSITIF;;;
Ayahbunda 31;Good;5;2021-06-23 12:08:02;POSITIF;;;
Sumarni Sumarni;Bisa live streaming virtual gak;5;2021-06-23 12:05:24;POSITIF;;;
Yoris Seran;Terbaik;1;2021-06-23 09:23:13;NEGATIF;;;
Buhari Harahap;Google meet kita mantap;5;2021-06-23 08:46:44;POSITIF;;;
Kang Sugie Channel;Bagus;5;2021-06-23 08:13:34;POSITIF;;;
syifa nabillah raisya;Bagus sih tapi suka keluar sendiri pas lagi dipake;2;2021-06-23 07:04:35;NEGATIF;;;
Kris Ardianti Wenny;Luar biasa membantu;5;2021-06-23 06:37:43;POSITIF;;;
Ananda Firdaus;Hadehh Malay Malay....App lu nyusahin orang aja Rambutnya si botak belum ditumbuhin udah sok asik Hadehhhhhhhh..................;1;2021-06-23 05:17:49;NEGATIF;;;
Mutiah Yuyun;Sangat bagus;5;2021-06-23 04:46:31;POSITIF;;;
Handi Suhanda;Bagus;4;2021-06-23 04:17:23;POSITIF;;;
Nur aulia Dewi;Bagus;2;2021-06-23 03:27:40;NEGATIF;;;
andyk hermawan;Perbaiki lg fitur agar memudahkan para penguna;1;2021-06-23 03:03:09;NEGATIF;;;
Habiba Maulaya;Bagus sekali;5;2021-06-23 03:02:42;POSITIF;;;
Jelson Qumarc Gomes Soares;????????;5;2021-06-23 02:51:07;POSITIF;;;
Jeanette;Ga bisa di download ??;1;2021-06-23 02:46:43;NEGATIF;;;
dahlan66 spd;Bagus;1;2021-06-23 02:44:06;NEGATIF;;;
Abi din;Baru di download, sudah minta di update aneh;3;2021-06-23 02:20:42;NEGATIF;;;
Perni Ndruru;Keren;5;2021-06-23 02:03:22;POSITIF;;;
Bromulyanto Bro;Mantep coy Google Meetnya mantep;5;2021-06-23 01:53:35;POSITIF;;;
Ragas Putra Aldebaran;Baik;5;2021-06-23 00:45:11;POSITIF;;;
Artanti Dedi Febriani;Bagus,tapi tampilan nya bikin gak nyaman,udh gak bisa ganti keputih lagi,laptop doang bisa. :();3;2021-06-23 00:18:50;NEGATIF;;;
Papi Ozora;Ol;5;2021-06-22 15:36:34;POSITIF;;;
Putra;Bagus sih tpi mohon maaf saya lebih suka tampilan yg lama lebih fleksibel dan gak bikin sakit mata;3;2021-06-22 14:42:19;NEGATIF;;;
Mahda Risa;????????;5;2021-06-22 14:32:59;POSITIF;;;
alwaqiah misafana nur alfaroh Safa;Bagus bet untuk kelas online;5;2021-06-22 12:44:15;POSITIF;;;
sani kristiani;Baik;5;2021-06-22 12:39:47;POSITIF;;;
Ardi Setiawan;Biasa saja;3;2021-06-22 08:59:59;NEGATIF;;;
Kang Dadang;Ok;5;2021-06-22 07:34:25;POSITIF;;;
Rahmawati Aprilia;Tolong saat presentasi ada option untuk mematikan mic karena untuk mengurangi suara2 masuk yg tidak jelas, thanks;4;2021-06-22 07:30:57;POSITIF;;;
dwi riwayat susiana;Akses yang mudah;5;2021-06-22 05:50:15;POSITIF;;;
Agus Purnomo;Ok;5;2021-06-22 05:33:09;POSITIF;;;
Jesslyn Utama;GAK SUKA SEKOLAH;1;2021-06-22 04:11:29;NEGATIF;;;
Kidalang Rizal rusmana;Jos;4;2021-06-22 04:09:51;POSITIF;;;
Putri Allcholin;B aja;5;2021-06-22 03:50:17;POSITIF;;;
putri aldina gadeng;Gooddddddddd;5;2021-06-22 02:02:41;POSITIF;;;
Yunus Dani 1232;GEMBEL;1;2021-06-22 01:34:25;NEGATIF;;;
Lusi anaa;ajur;1;2021-06-22 00:48:44;NEGATIF;;;
Rillen Saragih;Good...;5;2021-06-21 22:59:50;POSITIF;;;
Abu new project;Sangat berguna dan bermanfaat;5;2021-06-21 17:45:45;POSITIF;;;
Nur Khaira syafhani;Bguss yahhh ,aman di pakai;5;2021-06-21 17:10:35;POSITIF;;;
Kayla Ongkor;Bagus banget!!!!!!!!!!!!!!!!!!!!!!!!!!!;5;2021-06-21 15:58:03;POSITIF;;;
Daniel haikal;Time main game laju Line tapi time masuk kelas online ya allah....slow gila padahal Line ok;2;2021-06-21 13:59:03;NEGATIF;;;
Adrian- Kun;Gak guna sekali nih aplikasi, penghabisan paket jangan di download rugi banget hapus aja nih aplikasi taik;1;2021-06-21 13:09:22;NEGATIF;;;
Nayla Unicorn;bagus;5;2021-06-21 12:55:08;POSITIF;;;
